locusId	sysName	desc	comb	setATCH113 LB	setATCH114 LB	setATCH115 LB	setATCH131 M9	setATCH132 M9	setATCH133 M9	setATCH168 PDB	setATCH169 PDB	setATCH170 PDB	setATCH171 Atlantic	setATCH172 Atlantic	setATCH173 Atlantic	setATCH174 Atlantic	setATCH175 Atlantic	setATCH176 Atlantic	setATCH177 Norland	setATCH178 Norland	setATCH179 Norland	setATCH180 Norland	setATCH181 Norland	setATCH182 Norland	setATCH183 Upstate	setATCH184 Upstate	setATCH185 Upstate	setATCH186 Upstate	setATCH187 Upstate	setATCH188 Upstate	setATCH240 LB	setATCH241 LB	setATCH242 LB	setATCH243 PDB	setATCH244 PDB	setATCH245 PDB	setATCH246 M9	setATCH247 M9	setATCH248 M9
DZA65_RS00070	DZA65_RS00070	GntR family transcriptional regulator	DZA65_RS00070 GntR family transcriptional regulator	-0.602256361383903	-0.12208806818968	-0.379485060323784	-0.0117148960077591	-0.00175568270617621	-0.193346573835027	0.200725643780499	-0.00146275489291947	0.19153158336613	-0.0199372739448199	-0.104915685219379	-0.0286295349164487	-0.456725526146867	0.168037376196975	0.30440564219482	-0.0155417900483283	-0.0783197959021058	-0.183479284964141	0.505151496622334	0.15414698006202	0.296474258005771	0.061360163972491	-0.238365260782153	-0.11747065802606	0.0196549977070701	0.21951685216007	0.208118121991714	-0.0509552896177725	-0.206564459138906	-0.16334518463762	-0.193176991307996	0.15463512042389	0.139610725961202	-0.532548444713934	-0.273026290220182	-0.310082342812777
DZA65_RS00080	DZA65_RS00080	MBOAT family protein	DZA65_RS00080 MBOAT family protein	-0.00205237771695588	-0.00872357328986084	-0.0553074164788458	-0.12428950334243	-0.0822652207481263	-0.021416086957702	-0.171521968343124	-0.180703737075241	-0.0903633128595328	0.0501535595522198	-0.00375911399091278	-0.0808163627636311	0.126679966627931	0.268593471677998	0.0903799460701378	-0.00644776242784229	-0.184266150402179	0.11676794427247	0.0527392042344036	0.000447233912090228	-0.0279347857451233	0.121963985414583	0.0307076638014064	0.118063795557826	0.129823976701642	0.157953029432609	0.15204896549551	0.0176692851383511	0.0775119047362336	-0.0253793703707643	-0.012149796330803	-0.128217381027989	-0.112982899980903	-0.0394283736683412	0.0263796548051971	-0.0222053401779325
DZA65_RS00085	DZA65_RS00085	DUF459 domain-containing protein	DZA65_RS00085 DUF459 domain-containing protein	-0.141780342333195	-0.0106125057083245	-0.0547935918777683	0.0261656754850803	0.0902801988636908	0.0532329016469248	-0.246359696885966	-0.173587388204376	-0.00692269967880554	-0.11635828114471	-0.144615341938985	-0.428362753664089	-0.0494707704803925	0.046820930774311	-0.0802234687048746	-0.231050752217803	-0.146090365286527	-0.208431326718371	-0.0439561828495334	-0.024328072928502	-0.0737331825781468	0.132123140432907	-0.0382514294644691	0.087783214245346	-0.185454145913219	-0.364475895282068	0.135914845419854	0.00851602036663723	0.0149477154817534	0.0208995779858836	0.0011546662524673	0.0265901714098704	-0.0172463380757943	-0.110105473482331	-0.073002145705594	-0.101611383011613
DZA65_RS00090	DZA65_RS00090	hypothetical protein	DZA65_RS00090 hypothetical protein	0.0949468191092482	-0.0731877662609569	-0.0300228699455712	0.256607950196064	0.116425732188168	0.193875329436897	-0.0350639380225308	0.0382904236416103	-0.033524419537002	0.0060051114167684	0.122217324574198	0.141634146947048	-0.00830608582157977	0.215118254475628	-0.0445002575462126	0.0161882626413636	0.109943251294958	-0.0626804016145563	0.0346319880926115	0.0280990493887529	0.0650582355098109	0.0900502513981389	0.203772094830586	0.177418735337681	0.0273443841169598	0.0946257883867927	-0.0425317022258962	-0.0211635944649471	-0.0100768241225928	-0.0737770062436853	-0.0262107336425883	-0.0134003200024364	0.155915899477082	0.0537084095504416	0.14897893124671	0.0197381682333442
DZA65_RS00095	DZA65_RS00095	AsnC family transcriptional regulator	DZA65_RS00095 AsnC family transcriptional regulator	0.15216292481318	-0.304644649485601	0.116004488965776	-0.256862217732866	-0.231258203234832	-0.0168288760011608	-0.424762309871245	0.218326774085021	-0.206293128170738	-0.479239867801222	-0.348309813694827	0.219350196629182	-0.162174142630588	-0.00528419486461951	-0.117991343797884	-0.466009744255413	-0.891140792057435	-0.296812460313475	-0.437368921984694	-0.482563634848892	-0.206426756779585	-0.806158294138361	-0.771818448815317	-0.256944124064576	-0.205416958547443	-0.150061436724506	0.112806292324767	0.223108783364682	-0.530299158686796	0.0996529521621163	0.131540006518049	-0.203819220790928	-0.219677761071339	-0.8871676436304	-0.0179441142767605	-0.268473979125242
DZA65_RS00100	DZA65_RS00100	phosphoserine transaminase	DZA65_RS00100 phosphoserine transaminase	-0.0150818728672153	0.01648324711275	-0.06970635481767	-0.106500420896899	-0.190229720140932	-0.169408108595145	0.0878194325489988	0.0165325371620224	0.0371843549262451	0.0305914893093023	-0.128787524473749	0.00809151591225143	-0.239045394703712	-0.0531952268172866	0.0157840045538731	0.0895614953381351	0.0260135580415146	-0.142362530044017	-0.0511515207695986	0.0160120161831957	-0.0321514631449945	0.063211440626165	0.296896715487695	-0.0206812960834249	-0.0418749409524974	0.077059656639012	0.0533474656462709	-0.0767443212759917	-0.0676658147700453	-0.0710951890042248	-0.0332137117192826	0.0883039979679243	0.0434144576458362	-0.137183975944245	0.111080726375173	0.0845089910903962
DZA65_RS00105	DZA65_RS00105	formyl-CoA transferase	DZA65_RS00105 formyl-CoA transferase	-0.0442505113400613	-0.0264430532513417	-0.00367787017081311	0.0817697752570594	-0.0854771573183608	-0.0159734172348902	-0.0679675211456775	0.0442846006743453	0.0250349570746503	-0.209022360391224	-0.0485898675541836	-0.12594247853188	-0.121648491232251	-0.124691829204315	-0.140301161307187	-0.14745626730301	-0.084543670827032	-0.0404070661737681	0.0818463829880287	-0.0631912307970637	0.0661027436114185	0.0815858134515107	-0.0440529719509634	-0.14061533771034	0.16736790472124	-0.0557453501284295	-0.0249731333001499	-0.0513605238113988	-0.0696061764161078	-0.025311000641	-0.045299128443953	0.0119065783127772	0.0225166485817678	0.10168733554577	-0.0299271374710799	-0.0693127868127414
DZA65_RS00110	DZA65_RS00110	PAS sensor domain-containing protein	DZA65_RS00110 PAS sensor domain-containing protein	0.12245210938342	-0.157298668992824	-0.321560621967322	-0.0920490756557077	-0.586339120576686	-0.279266751157771	0.130791521051407	-0.0552932654357463	-0.0554535533309097	0.486430695111238	0.106608831610898	0.461451639565815	-0.0388088452161071	-0.0375086402806954	0.307508525351161	-0.648775144627626	0.0361896313702224	-0.155929098454042	0.275136597678337	-0.0264770534299367	-0.391888245655146	0.0379406444053252	-0.0692240810596332	0.0722834035806859	-0.111168639243082	-0.48560940089866	0.78422332106401	-0.0485856304810284	-0.28860748756009	-0.138274865834047	0.0688476213396019	0.164650685019287	-0.128379920517311	0.0756235053780501	-0.229532519264485	-0.081446042703913
DZA65_RS00115	DZA65_RS00115	formyl-CoA transferase	DZA65_RS00115 formyl-CoA transferase	-0.0621797633031664	-0.0809078896141501	-0.101978325147625	-0.0199687682348948	-0.269602541889193	-0.176455170697659	-0.0568629493077275	-0.0297654905387412	-0.0510360616780793	-0.0297619947216815	-0.0120537764331732	-0.0242187127106683	-0.0938522902101813	-0.0786752562631244	-0.0867566519265719	-0.000771913465662966	-0.0772293991877848	-0.0369093893611594	-0.227430173659266	-0.112011771835468	-0.00462559842621091	-0.0708576508934966	-0.128851377712985	-0.0522064482842732	-0.0703426353976668	-0.191494897633557	-0.105750821527897	-0.112921677375289	-0.0882526679575628	-0.0752456930961287	-0.0619335909694168	-0.148804065736914	0.0319548409937176	-0.092094492386265	-0.0176789962336665	-0.0375027720307615
DZA65_RS00120	DZA65_RS00120	oxalyl-CoA decarboxylase	DZA65_RS00120 oxalyl-CoA decarboxylase	-0.0945597912692713	0.0744777875193248	-0.0414037135732023	0.0145726761294771	0.157282227833003	-0.0257148206881914	-0.0928774647718777	-0.114048989810165	-0.0526950153912636	-0.136563547242471	-0.0222689275384591	-0.082179281865763	-0.0968312265473261	-0.0915515659329852	-0.192075223151333	-0.0735879164810771	-0.143993871783879	-0.0828122157687028	-0.0284666586734588	-0.056404985858368	-0.0162155701061392	-0.135534147187609	-0.0809386248435831	-0.0669333486159372	-0.129508050328853	0.087455719049164	-0.0691308783552576	-0.0663014727838529	-0.0238530924197968	-0.0355877836487659	-0.0367001121001078	-0.105875362630614	0.120520574618923	-0.077420567097876	0.0454289144960425	-0.0432088027994961
DZA65_RS00125	DZA65_RS00125	MFS transporter	DZA65_RS00125 MFS transporter	0.104757314753045	-0.15657492703532	0.0821288445180307	-0.0788284799922478	-0.125032047854632	-0.28401112286346	-0.167955104742639	-0.0943911469709395	-0.296392150251559	-0.00971143472820757	-0.190178113220304	-0.125618001258666	0.115777474225508	-0.0774784712832494	-0.0558243163588803	-0.11742909446357	0.0866160831043705	-0.114255259612402	0.0455311271917378	0.127508764571041	-0.0139769832245955	-0.314924312011418	-0.030966851609055	-0.103508917778257	0.134163503206745	-0.0259604395193991	-0.00282992720965591	0.00615829685924107	-0.173177989069348	0.0328895850734843	0.159811162823363	-0.141306749288135	0.14160877982296	-0.0669995195545718	-0.158211646112435	-0.0198788854462653
DZA65_RS00130	DZA65_RS00130	LysR family transcriptional regulator	DZA65_RS00130 LysR family transcriptional regulator	0.075187813156814	-0.0705778370542394	-0.180772609616635	-0.0878892463116081	-0.183297081979827	0.0464838937246388	-0.0674686483588742	-0.0432714605994394	-0.148537261538246	-0.0488035820455516	0.0732009180351373	-0.0851587389693678	-0.193786878643549	-0.104954536212565	0.0765547601703312	-0.029197419527573	-0.193510647992072	-0.0301804724291976	-0.0512064291821697	-0.00126377582554449	-0.0994847675063187	-0.0192715540965142	0.00832299460012376	-0.139394304224827	0.20678497418655	-0.10526010601808	0.0565230838172548	-0.00814475203526732	0.0795476884286799	0.137402282266446	-0.0779157475307031	-0.00052919566502041	0.0694970585422057	-0.0200789735689519	0.0323683387417819	0.0643208788628835
DZA65_RS00135	DZA65_RS00135	GNAT family N-acetyltransferase	DZA65_RS00135 GNAT family N-acetyltransferase	-0.0883948613945487	-0.0865420994967639	-0.0682576424835077	-0.305476265590174	-0.0867491930353383	-0.158082682169502	0.0970787112795152	-0.132605249603521	-0.0130756841607348	0.0361147297762283	-0.157287201800393	-0.0414396455867567	-0.100828078229348	0.0700194500356747	0.274595259041605	-0.000429533705044394	0.273780610168432	0.192474636928501	-0.0334468067873289	-0.0576270622261088	6.04626987387169e-05	-0.0325890066161745	-0.143447992350518	0.124331215881952	0.156742792747212	-0.0217032432419471	0.0455238859829095	-0.134294676826126	0.0731672725207495	-0.123787103226943	-0.00432919305897617	-0.127494783089704	-0.233363969791496	-0.109573505904146	0.0801807101154572	-0.114076693743243
DZA65_RS00140	DZA65_RS00140	MarR family transcriptional regulator	DZA65_RS00140 MarR family transcriptional regulator	-0.356135969338181	-0.117983386183362	0.0536739549722266	0.0161957356763696	0.690349542924598	0.234041319455482	-0.39242056704404	-0.233004401681022	0.0937820321999177	-0.208845911539817	0.722442992735698	-0.0898086066195005	0.0866399537105513	-0.123488775555011	-0.0406212430181505	0.1182831323361	-0.39447002786061	0.271170389318151	0.00473684090414117	-0.204573695011268	0.0346233098225375	-0.303328776423632	0.356594796165916	-0.0511836543349857	0.287138343961514	0.119760816885462	-0.16524523644704	-0.035247537632598	0.161232971894223	-0.0437703942857903	0.201391880781752	0.249663656302737	-0.0247827451951121	0.157709577169532	0.309712685457875	-0.076782046552738
DZA65_RS00145	DZA65_RS00145	DUF3861 domain-containing protein	DZA65_RS00145 DUF3861 domain-containing protein	-0.192385087971092	-0.253894118861789	0.125191502851637	0.093873709436932	0.00378894046583844	0.368411870548989	-0.233493291448034	0.0905301290752153	0.181545371016114	0.0439106008466404	-0.0305599904419895	-0.0469612721191615	-0.209759128491632	-0.165430708257909	0.0593281961300902	-0.268043502568612	-0.169932301369483	0.39077543637193	0.0369887377169625	0.114886864717199	-0.32170040158741	0.54860497789076	0.308902411989603	-0.16448228993527	-0.287160648006104	-0.0089986501489836	0.176316885688276	0.0523919438519174	-0.152735098587576	0.210329889469106	-0.209600999353464	-0.24915452362916	-0.0407943032781499	-0.281969465601396	-0.141201109824925	0.00894761892734941
DZA65_RS00150	DZA65_RS00150	glucokinase	DZA65_RS00150 glucokinase	0.0938087456194023	0.134312248747326	0.13041447234281	-0.126460605918006	-0.103817976856187	-0.356250482545112	0.0470417651279652	-0.0754514666892612	-0.103699659953686	-0.0560388025731043	-0.0278545038794147	0.0878468583854671	0.213560181472674	-0.0582081964076966	0.174344517948917	0.00170753698141568	-0.0542969482452089	0.341415538397192	0.00874406016060691	-0.0214666054464973	0.131250956936906	0.0104298644853493	0.0404955224875695	0.0906972649962282	0.345762633906612	-0.0750840872291743	-0.00649527775786929	0.0632867798419858	-0.0738276398596498	-0.0256768281525024	-0.313460456608512	-0.166993086687628	-0.153063666182024	-0.143411506595646	-0.0837214371674153	0.0102176974991037
DZA65_RS00155	DZA65_RS00155	alkylhydroperoxidase domain protein	DZA65_RS00155 alkylhydroperoxidase domain protein	-0.121658292313856	-0.139789004483173	0.172702826363248	-0.079201949797121	-0.258410735069056	-0.127576424581672	0.0982310274360203	-0.00207759094692406	0.020361696880966	0.00707897815022795	-0.00157728868800144	-0.150098715204072	-0.0531490745219358	-0.0189933495121113	-0.0627712714913049	-0.155683788926626	-0.0470994928739219	0.0223315747460688	-0.0130563563808666	0.125626802698388	0.00724371029889237	0.109023723284623	-0.0212263025557351	-0.162994973839987	-0.0737001003606725	-0.227310582573327	0.0368284747706524	-0.214181774485286	-0.111156805036968	-0.0381155547219481	-0.0173151758063985	0.0815990858147073	-0.219502947273236	-0.254544400279948	-0.13166011674943	-0.0621788256048208
DZA65_RS00160	DZA65_RS00160	putative FMN-dependent luciferase-like monooxygenase	DZA65_RS00160 putative FMN-dependent luciferase-like monooxygenase	0.253985879956551	-0.0249579596081134	0.23501230789519	0.0903604412656394	-0.316064746882898	-0.137755924891866	0.247870466512419	0.323265229132929	0.201704206375311	0.068045368070992	0.580797283909612	0.892016372616117	0.0601515916251141	-0.00453596711752047	0.0808945931833892	0.271936304247888	0.282554634112409	0.347095490752614	0.248182795115093	0.239486352584562	0.77747020959456	0.522057249139704	0.129139659115944	0.249690057906826	0.373439036312629	0.161151665318744	0.108740669924243	-0.137146301072167	-0.272280408114275	-0.0612195755370575	-0.199533973817087	-0.240944696899701	-0.283611315581736	-0.304922495576242	-0.0485015831696745	-0.0220219187567485
DZA65_RS00165	DZA65_RS00165	ABC transporter ATP-binding protein	DZA65_RS00165 ABC transporter ATP-binding protein	0.0355080643058052	-0.0614184533848033	0.0193372362116851	-0.0634149665308184	-0.109686607045358	0.0195046599018418	-0.0192716829098757	-0.077569929976314	0.0806372639524457	-0.0701050494607692	0.153903110357426	-0.125179015453934	0.0029757861011448	0.0340907200796672	-0.0683764456957485	0.00868307911955735	-0.0900434853802032	-0.108658079540097	-0.0206346165583363	-0.113809904110481	-0.0397042437111569	-0.0423552685247556	-0.033425480611054	-0.245438769916688	0.063662803753735	-0.136015039169435	-0.0586556403386487	0.0551222992235385	0.0476117837141032	0.148232205045426	0.0270985212123855	-0.0285172909282849	0.0683433006333243	-0.0296081743300121	0.0618225687601739	-0.0990333320934438
DZA65_RS00170	DZA65_RS00170	ABC transporter permease	DZA65_RS00170 ABC transporter permease	-0.160829140033188	0.131170716247411	0.171019528549402	-0.131723488994001	-0.0631147337134264	-0.111895105633636	-0.0328214554504955	-0.162071810558954	0.0724496692768827	-0.216827040842225	0.0851390941538924	-0.0587394712568519	-0.198829997100084	-0.0617370384715411	0.0142965522119238	0.0727916916606002	0.0190784059974003	-0.15371130729198	-0.124485057295945	-0.0807625335341831	0.161413191624715	0.0693451734863824	-0.169162429639216	-0.18670294354253	-0.141829499267349	-0.0207689583046056	-0.109960001569992	-0.047936136694259	0.131637532356098	0.0225749673673263	-0.0251126865518747	-0.0263066044282445	0.0318616398459253	-0.175547021864678	-0.125957309860291	-0.013955100355487
DZA65_RS00175	DZA65_RS00175	ABC transporter permease	DZA65_RS00175 ABC transporter permease	-0.534131157765856	0.0634032562537871	0.079548175069142	0.265317200966472	0.150826690162871	0.0489475334720944	-0.16168738837639	0.0281448585271795	0.134557691417189	0.282250178354662	-0.346496735458482	0.0238343647283261	-0.40604866047096	0.0513215385125821	0.218916615345677	-0.212156298406686	-0.208117504856258	-0.787270650113202	-0.80067866230821	-0.208393807454556	0.100679334736345	-0.21311943618365	-0.206261619788037	-0.595909600560698	-0.245458323743846	-0.306213908125677	-0.0802613702493937	-0.673861207818454	-0.273331525479992	0.102702060895807	-0.194944229138482	-0.060514141798925	0.295679244965745	-0.181277640744435	-0.130763575640104	-0.0725094169300307
DZA65_RS00180	DZA65_RS00180	TIGR04028 family ABC transporter substrate-binding protein	DZA65_RS00180 TIGR04028 family ABC transporter substrate-binding protein	-0.119679251686974	0.169225595007042	-0.0303159995936914	-0.0149705757119865	-0.0602127158251802	-0.0136443040909162	-0.106617484424282	-0.16657150124441	-0.0537726761139915	-0.0387829765879026	-0.103480692279484	0.124920679694363	-0.176863097627233	-0.150238105183162	0.0585784541808554	-0.114702243942506	-0.060262789598349	-0.0515838492579643	-0.101780576427719	0.0995310096580247	0.0127835682971635	0.0682087947889782	-0.0904352302746485	-0.338196240839007	-0.0498772426313472	0.178243821572891	0.0803691250490974	-0.0602694638586663	0.110439209541986	0.0284760277100085	0.0491163076497492	-0.161650753097471	0.110872039263342	-0.0416045572663171	0.0492370242759697	0.0449257850129312
DZA65_RS00185	DZA65_RS00185	valine--pyruvate transaminase	DZA65_RS00185 valine--pyruvate transaminase	-0.0895207135285787	0.216255231224027	0.00397448834125946	0.0401429853898547	0.0782280076365029	-0.0207074681750523	0.0567201497762448	-0.164754011286426	-0.00802083538812959	-0.179718817135504	-0.330181595604407	0.068237407029146	-0.161789649199715	0.0529506465886701	-0.0320692562293567	-0.231327750449233	-0.287898598090739	-0.151954497416536	-0.159688654233861	-0.182688372818224	-0.179566144154786	-0.00516576723309725	-0.161618285880177	-0.0701740387641273	-0.237723932955828	-0.210547693405299	-0.0954351512066158	-0.0116435678376465	-0.00258079868340011	-0.12632231542982	-0.0686583876677846	0.00932188410026114	-0.0386049398910806	-0.139479740766536	-0.0403176601061077	-0.0663763618955948
DZA65_RS00190	DZA65_RS00190	aldose 1-epimerase family protein	DZA65_RS00190 aldose 1-epimerase family protein	-0.0532551365012872	0.189644514589123	0.146588931515707	-0.0606621158219485	0.0427957341961576	0.0499733935074669	-0.162425856597889	-0.00598913611975982	-0.180067579183498	-0.118476695985297	-0.181195201797693	-0.036841843913771	-0.366153494763819	0.0483611285272035	-0.0956702884314304	0.0705369363895811	-0.00566184535101488	0.0607479021713051	-0.00193159847610302	0.0180056935791486	-0.0809733024635015	-0.106803055731173	-0.0355604531605632	-0.112597235067728	-0.132921771710516	-0.030795322095666	-0.185874775233497	0.0537769893061588	0.0745821765358914	-0.271791156979442	0.16191114259039	-0.199504069666133	-0.0562508628830098	-0.0115398479264406	0.0417065023443892	0.0394591152044634
