locusId	expName	sysName	desc	fit	t	nReads	nStrains	se	sdNaive	short	used	maxFit	gMean	nDetected
DDA3937_RS13560	setATCH129	DDA3937_RS13560	flagellar transcriptional regulator FlhC	4.58685923150208	23.5377847790219	20246	42	0.194872171470874	0.0484070152017593	M9	TRUE	6.58935148176541	732.05641025641	42
DDA3937_RS11465	setATCH129	DDA3937_RS11465	EAL domain-containing protein	4.5064970710532	27.4339039731718	39544	112	0.164267436215429	0.0345958228182903	M9	TRUE	6.58935148176541	732.05641025641	110
DDA3937_RS13340	setATCH129	DDA3937_RS13340	flagellin FliC	4.39515142172852	18.5607343050147	6181	21	0.2367983588096	0.0858390010513051	M9	TRUE	6.58935148176541	732.05641025641	21
DDA3937_RS01695	setATCH129	DDA3937_RS01695	divisome-associated lipoprotein YraP	4.38355913170727	7.3628767652412	2024	14	0.595359568205902	0.13449252030311	M9	TRUE	6.58935148176541	732.05641025641	11
DDA3937_RS13300	setATCH129	DDA3937_RS13300	RNA polymerase sigma factor FliA	4.22953489745355	17.551178822973	16432	37	0.240982952775653	0.047786158352031	M9	TRUE	6.58935148176541	732.05641025641	37
DDA3937_RS13435	setATCH129	DDA3937_RS13435	flagellar hook-associated protein FlgK	4.20602095680157	28.7828020892097	57909	156	0.146129655610506	0.0276996891472099	M9	TRUE	6.58935148176541	732.05641025641	155
DDA3937_RS13495	setATCH129	DDA3937_RS13495	flagellar export chaperone FlgN	4.06341807041689	13.3552198472121	1953	9	0.3042569210319	0.134115184630735	M9	TRUE	6.58935148176541	732.05641025641	9
DDA3937_RS02685	setATCH129	DDA3937_RS02685	hypothetical protein	4.0152700772377	8.81956091084383	1003	6	0.455268705304914	0.156375791918137	M9	TRUE	6.58935148176541	732.05641025641	5
DDA3937_RS18610	setATCH130	DDA3937_RS18610	RNA chaperone Hfq	6.41946540463099	33.5562527302885	57910	37	0.191304596977143	0.04279921211635	M9	TRUE	6.41946540463099	806.48286099865	37
DDA3937_RS15705	setATCH130	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	5.12133411273133	30.1581646523292	16292	41	0.169815841639282	0.0574926845371115	M9	TRUE	6.41946540463099	806.48286099865	41
DDA3937_RS13555	setATCH130	DDA3937_RS13555	flagellar motor stator protein MotA	4.93651861366525	25.7489643323105	41456	56	0.19171717160953	0.0429475155728806	M9	TRUE	6.41946540463099	806.48286099865	55
DDA3937_RS13560	setATCH130	DDA3937_RS13560	flagellar transcriptional regulator FlhC	4.77028174982956	22.5801126018486	23100	42	0.211260317162414	0.0482756552603063	M9	TRUE	6.41946540463099	806.48286099865	42
DDA3937_RS13565	setATCH130	DDA3937_RS13565	flagellar transcriptional regulator FlhD	4.7139965171276	24.8733469938658	25773	28	0.189519991752222	0.0414063064221343	M9	TRUE	6.41946540463099	806.48286099865	28
DDA3937_RS13340	setATCH130	DDA3937_RS13340	flagellin FliC	4.61798994052691	19.7455688585554	7649	21	0.233874747980534	0.0854618414232857	M9	TRUE	6.41946540463099	806.48286099865	21
DDA3937_RS13550	setATCH130	DDA3937_RS13550	flagellar motor protein MotB	4.57746404205638	20.7713959041229	38931	67	0.220373443517476	0.0422498499541691	M9	TRUE	6.41946540463099	806.48286099865	67
DDA3937_RS11465	setATCH130	DDA3937_RS11465	EAL domain-containing protein	4.33191731141019	28.581912548631	38365	112	0.151561492046398	0.034619190975779	M9	TRUE	6.41946540463099	806.48286099865	110
DDA3937_RS13435	setATCH130	DDA3937_RS13435	flagellar hook-associated protein FlgK	4.05546982074721	28.7398034366674	50860	156	0.141109866310814	0.0277894589087977	M9	TRUE	6.41946540463099	806.48286099865	154
DDA3937_RS13495	setATCH130	DDA3937_RS13495	flagellar export chaperone FlgN	4.02997188836007	11.6811979388371	1734	9	0.344996455796832	0.134615509258248	M9	TRUE	6.41946540463099	806.48286099865	8
DDA3937_RS21960	setATCH148	DDA3937_RS21960	helix-turn-helix transcriptional regulator	5.02204890768405	8.39128004478389	25228	19	0.598484245655204	0.0426599207089734	Atlantic	TRUE	5.5276217550954	638.19298245614	17
DDA3937_RS15705	setATCH148	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	4.70536430845073	23.1251157328441	7597	41	0.203474195018527	0.0507827280263497	Atlantic	TRUE	5.5276217550954	638.19298245614	40
DDA3937_RS21960	setATCH151	DDA3937_RS21960	helix-turn-helix transcriptional regulator	4.37344200244404	7.27573437982846	27474	19	0.601099734285125	0.0425808029524335	Atlantic	TRUE	4.37344200244404	658.814844804318	18
DDA3937_RS15705	setATCH153	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	4.2967023450865	19.0113446793421	8439	41	0.226007282365216	0.0505129363314959	Atlantic	TRUE	4.70033828416959	570.173819163293	40
DDA3937_RS21960	setATCH156	DDA3937_RS21960	helix-turn-helix transcriptional regulator	5.25783357325488	7.80608686548913	36695	19	0.673555606522888	0.0423566877872062	Norland	TRUE	5.25783357325488	635.574358974359	18
DDA3937_RS21960	setATCH158	DDA3937_RS21960	helix-turn-helix transcriptional regulator	4.28476453882998	8.95765845054964	9576	19	0.478335333110079	0.0442119861838653	Norland	TRUE	6.80130368867141	455.735492577598	18
DDA3937_RS21960	setATCH160	DDA3937_RS21960	helix-turn-helix transcriptional regulator	4.78963225350817	7.34345717271047	27811	19	0.652231250330873	0.0425700229168979	Upstate	TRUE	4.78963225350817	463.029419703104	19
DDA3937_RS15705	setATCH161	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	4.19222412225606	25.1730704565044	7826	41	0.166536065971755	0.0507037544624764	Upstate	TRUE	4.19222412225606	620.839406207827	41
DDA3937_RS21960	setATCH162	DDA3937_RS21960	helix-turn-helix transcriptional regulator	4.21620014177146	8.45765458134006	11367	19	0.49850701529873	0.0438230525046141	Upstate	TRUE	4.21620014177146	254.526045883941	17
DDA3937_RS21960	setATCH163	DDA3937_RS21960	helix-turn-helix transcriptional regulator	4.74841063044199	7.534989928259	29042	19	0.630181417049237	0.0425327503139731	Upstate	TRUE	4.74841063044199	562.14979757085	18
DDA3937_RS21960	setATCH164	DDA3937_RS21960	helix-turn-helix transcriptional regulator	4.34876257391639	7.41573891764589	32546	19	0.586423365521733	0.0424419534021355	Upstate	TRUE	4.34876257391639	629.620782726046	18
DDA3937_RS18610	setATCH197	DDA3937_RS18610	RNA chaperone Hfq	6.38877722907745	29.6010767003904	46468	37	0.215829217759271	0.0411588720765123	M9	TRUE	6.38877722907745	615.061538461538	37
DDA3937_RS13555	setATCH197	DDA3937_RS13555	flagellar motor stator protein MotA	4.89181941807782	30.8089394450662	19531	56	0.158779221426955	0.0417321576553272	M9	TRUE	6.38877722907745	615.061538461538	56
DDA3937_RS13550	setATCH197	DDA3937_RS13550	flagellar motor protein MotB	4.44949722710633	22.9179192932481	23659	67	0.194149266788683	0.0384974674412052	M9	TRUE	6.38877722907745	615.061538461538	67
DDA3937_RS02685	setATCH197	DDA3937_RS02685	hypothetical protein	4.28906561614117	8.11704285728544	435	6	0.528402484938407	0.209868756406686	M9	TRUE	6.38877722907745	615.061538461538	6
DDA3937_RS18610	setATCH198	DDA3937_RS18610	RNA chaperone Hfq	7.46568218793547	35.0197010843863	85437	37	0.213185205948662	0.0409099429148828	M9	TRUE	7.46568218793547	604.002968960864	37
DDA3937_RS15705	setATCH198	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	5.86325168030963	34.7277180499938	18123	41	0.168834925227996	0.0525632250284075	M9	TRUE	7.46568218793547	604.002968960864	40
DDA3937_RS13555	setATCH198	DDA3937_RS13555	flagellar motor stator protein MotA	5.86025082578053	32.994652258872	40121	56	0.177612140894886	0.0410717297595225	M9	TRUE	7.46568218793547	604.002968960864	54
DDA3937_RS13550	setATCH198	DDA3937_RS13550	flagellar motor protein MotB	5.21066825449985	24.5906944057349	37425	67	0.211895937891231	0.0380748994293485	M9	TRUE	7.46568218793547	604.002968960864	66
DDA3937_RS02685	setATCH198	DDA3937_RS02685	hypothetical protein	4.84233506842225	9.12535824460444	648	6	0.530646023818887	0.206102287424299	M9	TRUE	7.46568218793547	604.002968960864	6
DDA3937_RS13340	setATCH198	DDA3937_RS13340	flagellin FliC	4.77383605374244	18.2557208081962	5995	21	0.261498086210825	0.0796574400111071	M9	TRUE	7.46568218793547	604.002968960864	21
DDA3937_RS13565	setATCH198	DDA3937_RS13565	flagellar transcriptional regulator FlhD	4.72689724953798	21.7621254128197	19918	28	0.217207518101768	0.0411058717458604	M9	TRUE	7.46568218793547	604.002968960864	28
DDA3937_RS13560	setATCH198	DDA3937_RS13560	flagellar transcriptional regulator FlhC	4.67199088179951	22.9166372062163	16047	42	0.203868955107087	0.043463725582039	M9	TRUE	7.46568218793547	604.002968960864	42
DDA3937_RS13430	setATCH198	DDA3937_RS13430	flagellar hook-associated protein FlgL	4.37569409428084	25.2319645067522	13968	46	0.17341868458597	0.0428130193497925	M9	TRUE	7.46568218793547	604.002968960864	46
DDA3937_RS13435	setATCH198	DDA3937_RS13435	flagellar hook-associated protein FlgK	4.22074620802598	30.8555987245356	36686	156	0.13679028709528	0.0257114671204123	M9	TRUE	7.46568218793547	604.002968960864	151
DDA3937_RS13300	setATCH198	DDA3937_RS13300	RNA polymerase sigma factor FliA	4.11880066497162	18.0540592826093	11410	37	0.228137096510982	0.0457757925837319	M9	TRUE	7.46568218793547	604.002968960864	37
DDA3937_RS18610	setATCH199	DDA3937_RS18610	RNA chaperone Hfq	7.77938402018706	32.5625429553927	83946	37	0.238905911950551	0.0409152308185084	M9	TRUE	7.77938402018706	545.459109311741	37
DDA3937_RS13555	setATCH199	DDA3937_RS13555	flagellar motor stator protein MotA	6.712153949144	38.5306264061812	58868	56	0.174203084019086	0.0408701226479186	M9	TRUE	7.77938402018706	545.459109311741	56
DDA3937_RS15705	setATCH199	DDA3937_RS15705	cyclic-guanylate-specific phosphodiesterase	6.35458674656003	32.3540666350445	24479	41	0.196407667024986	0.0522788234505341	M9	TRUE	7.77938402018706	545.459109311741	40
DDA3937_RS13550	setATCH199	DDA3937_RS13550	flagellar motor protein MotB	6.34159965228111	30.4321601366388	65110	67	0.208384801598298	0.0377630973736965	M9	TRUE	7.77938402018706	545.459109311741	66
DDA3937_RS02685	setATCH199	DDA3937_RS02685	hypothetical protein	5.53876648482155	9.34122765505808	870	6	0.592937747515705	0.20410963790436	M9	TRUE	7.77938402018706	545.459109311741	6
DDA3937_RS13340	setATCH199	DDA3937_RS13340	flagellin FliC	5.48044163202934	20.598834938614	7402	21	0.266055903081968	0.0792422463045509	M9	TRUE	7.77938402018706	545.459109311741	21
DDA3937_RS13565	setATCH199	DDA3937_RS13565	flagellar transcriptional regulator FlhD	5.360597005582	20.3570280377857	23300	28	0.263329057445514	0.040920977003312	M9	TRUE	7.77938402018706	545.459109311741	27
DDA3937_RS13560	setATCH199	DDA3937_RS13560	flagellar transcriptional regulator FlhC	4.85783815111177	21.4478220064861	15816	42	0.226495639027716	0.0434855102155557	M9	TRUE	7.77938402018706	545.459109311741	41
DDA3937_RS13495	setATCH199	DDA3937_RS13495	flagellar export chaperone FlgN	4.72395738107873	7.06080517526552	3808	9	0.669039474085345	0.121265853199319	M9	TRUE	7.77938402018706	545.459109311741	9
DDA3937_RS13435	setATCH199	DDA3937_RS13435	flagellar hook-associated protein FlgK	4.67537048499361	32.3426151368492	43349	156	0.144557589583001	0.0255413296306775	M9	TRUE	7.77938402018706	545.459109311741	149
DDA3937_RS13430	setATCH199	DDA3937_RS13430	flagellar hook-associated protein FlgL	4.6657165485829	22.7513957919321	12986	46	0.205073859698639	0.0429443949550287	M9	TRUE	7.77938402018706	545.459109311741	46
DDA3937_RS13300	setATCH199	DDA3937_RS13300	RNA polymerase sigma factor FliA	4.59545341477563	18.5578954567382	14915	37	0.247627939573669	0.0453052128669958	M9	TRUE	7.77938402018706	545.459109311741	37
DDA3937_RS13405	setATCH199	DDA3937_RS13405	flagellar motor switch protein FliN	4.25463104699086	19.9030474568001	18262	39	0.21376781903503	0.0365533082495976	M9	TRUE	7.77938402018706	545.459109311741	39
DDA3937_RS11465	setATCH199	DDA3937_RS11465	EAL domain-containing protein	4.18082366941888	24.3775218895415	23232	112	0.171503226963055	0.0327955830285721	M9	TRUE	7.77938402018706	545.459109311741	112
DDA3937_RS13400	setATCH199	DDA3937_RS13400	flagellar motor switch protein FliM	4.03430211002644	23.0207243507945	13205	66	0.175246532148638	0.038481062580888	M9	TRUE	7.77938402018706	545.459109311741	65
