	Dickeya_dadantii_3937	Dickeya_dianthicola_67_19	Dickeya_dianthicola_ME23
group_00213	1	1	1
group_00214	1	1	1
group_00215	1	1	1
group_00216	1	1	1
group_00217	1	1	1
group_00218	1	1	1
group_00219	1	1	1
group_00220	1	1	1
group_00221	1	1	1
group_00222	1	1	1
group_00223	1	1	1
group_00224	1	1	1
group_00225	1	1	1
group_00226	1	1	1
group_00227	1	1	1
group_00228	1	1	1
group_00229	1	1	1
group_00230	1	1	1
group_00231	1	1	1
group_00232	1	1	1
group_00233	1	1	1
group_00234	1	1	1
group_00235	1	1	1
group_00236	1	1	1
group_00237	1	1	1
group_00238	1	1	1
group_00239	1	1	1
group_00240	1	1	1
group_00241	1	1	1
group_00242	1	1	1
group_00243	1	1	1
group_00244	1	1	1
group_00245	1	1	1
group_00246	1	1	1
group_00247	1	1	1
group_00248	1	1	1
group_00249	1	1	1
group_00250	1	1	1
group_00251	1	1	1
group_00252	1	1	1
group_00253	1	1	1
group_00254	1	1	1
group_00255	1	1	1
group_00256	1	1	1
group_00257	1	1	1
group_00258	1	1	1
group_00259	1	1	1
group_00260	1	1	1
group_00261	1	1	1
group_00262	1	1	1
group_00263	1	1	1
group_00264	1	1	1
group_00265	1	1	1
group_00266	1	1	1
group_00267	1	1	1
group_00268	1	1	1
group_00269	1	1	1
group_00270	1	1	1
group_00271	1	1	1
group_00272	1	1	1
group_00273	1	1	1
group_00274	1	1	1
group_00275	1	1	1
group_00276	1	1	1
group_00277	1	1	1
group_00278	1	1	1
group_00279	1	1	1
group_00280	1	1	1
group_00281	1	1	1
group_00282	1	1	1
group_00283	1	1	1
group_00284	1	1	1
group_00285	1	1	1
group_00286	1	1	1
group_00287	1	1	1
group_00288	1	1	1
group_00289	1	1	1
group_00290	1	1	1
group_00291	1	1	1
group_00292	1	1	1
group_00293	1	1	1
group_00294	1	1	1
group_00295	1	1	1
group_00296	1	1	1
group_00297	1	1	1
group_00298	1	1	1
group_00299	1	1	1
group_00300	1	1	1
group_00301	1	1	1
group_00302	1	1	1
group_00303	1	1	1
group_00304	1	1	1
group_00305	1	1	1
group_00306	1	1	1
group_00307	1	1	1
group_00308	1	1	1
group_00309	1	1	1
group_00310	1	1	1
group_00311	1	1	1
group_00312	1	1	1
group_00313	1	1	1
group_00314	1	1	1
group_00315	1	1	1
group_00316	1	1	1
group_00317	1	1	1
group_00318	1	1	1
group_00319	1	1	1
group_00320	1	1	1
group_00321	1	1	1
group_00322	1	1	1
group_00323	1	1	1
group_00324	1	1	1
group_00325	1	1	1
group_00326	1	1	1
group_00327	1	1	1
group_00328	1	1	1
group_00329	1	1	1
group_00330	1	1	1
group_00331	1	1	1
group_00332	1	1	1
group_00333	1	1	1
group_00334	1	1	1
group_00335	1	1	1
group_00336	1	1	1
group_00337	1	1	1
group_00338	1	1	1
group_00339	1	1	1
group_00340	1	1	1
group_00341	1	1	1
group_00342	1	1	1
group_00343	1	1	1
group_00344	1	1	1
group_00345	1	1	1
group_00346	1	1	1
group_00347	1	1	1
group_00348	1	1	1
group_00349	1	1	1
group_00350	1	1	1
group_00351	1	1	1
group_00352	1	1	1
group_00353	1	1	1
group_00354	1	1	1
group_00355	1	1	1
group_00356	1	1	1
group_00357	1	1	1
group_00358	1	1	1
group_00359	1	1	1
group_00360	1	1	1
group_00361	1	1	1
group_00362	1	1	1
group_00363	1	1	1
group_00364	1	1	1
group_00365	1	1	1
group_00366	1	1	1
group_00367	1	1	1
group_00368	1	1	1
group_00369	1	1	1
group_00370	1	1	1
group_00371	1	1	1
group_00372	1	1	1
group_00373	1	1	1
group_00374	1	1	1
group_00375	1	1	1
group_00376	1	1	1
group_00377	1	1	1
group_00378	1	1	1
group_00379	1	1	1
group_00380	1	1	1
group_00381	1	1	1
group_00382	1	1	1
group_00383	1	1	1
group_00384	1	1	1
group_00385	1	1	1
group_00386	1	1	1
group_00387	1	1	1
group_00388	1	1	1
group_00389	1	1	1
group_00390	1	1	1
group_00391	1	1	1
group_00392	1	1	1
group_00393	1	1	1
group_00394	1	1	1
group_00395	1	1	1
group_00396	1	1	1
group_00397	1	1	1
group_00398	1	1	1
group_00399	1	1	1
group_00400	1	1	1
group_00401	1	1	1
group_00402	1	1	1
group_00403	1	1	1
group_00404	1	1	1
group_00405	1	1	1
group_00406	1	1	1
group_00407	1	1	1
group_00408	1	1	1
group_00409	1	1	1
group_00410	1	1	1
group_00411	1	1	1
group_00412	1	1	1
group_00413	1	1	1
group_00414	1	1	1
group_00415	1	1	1
group_00416	1	1	1
group_00417	1	1	1
group_00418	1	1	1
group_00419	1	1	1
group_00420	1	1	1
group_00421	1	1	1
group_00422	1	1	1
group_00423	1	1	1
group_00424	1	1	1
group_00425	1	1	1
group_00426	1	1	1
group_00427	1	1	1
group_00428	1	1	1
group_00429	1	1	1
group_00430	1	1	1
group_00431	1	1	1
group_00432	1	1	1
group_00433	1	1	1
group_00434	1	1	1
group_00435	1	1	1
group_00436	1	1	1
group_00437	1	1	1
group_00438	1	1	1
group_00439	1	1	1
group_00440	1	1	1
group_00441	1	1	1
group_00442	1	1	1
group_00443	1	1	1
group_00444	1	1	1
group_00445	1	1	1
group_00446	1	1	1
group_00447	1	1	1
group_00448	1	1	1
group_00449	1	1	1
group_00450	1	1	1
group_00451	1	1	1
group_00452	1	1	1
group_00453	1	1	1
group_00454	1	1	1
group_00455	1	1	1
group_00456	1	1	1
group_00457	1	1	1
group_00458	1	1	1
group_00459	1	1	1
group_00460	1	1	1
group_00461	1	1	1
group_00462	1	1	1
group_00463	1	1	1
group_00464	1	1	1
group_00465	1	1	1
group_00466	1	1	1
group_00467	1	1	1
group_00468	1	1	1
group_00469	1	1	1
group_00470	1	1	1
group_00471	1	1	1
group_00472	1	1	1
group_00473	1	1	1
group_00474	1	1	1
group_00475	1	1	1
group_00476	1	1	1
group_00477	1	1	1
group_00478	1	1	1
group_00479	1	1	1
group_00480	1	1	1
group_00481	1	1	1
group_00482	1	1	1
group_00483	1	1	1
group_00484	1	1	1
group_00485	1	1	1
group_00486	1	1	1
group_00487	1	1	1
group_00488	1	1	1
group_00489	1	1	1
group_00490	1	1	1
group_00491	1	1	1
group_00492	1	1	1
group_00493	1	1	1
group_00494	1	1	1
group_00495	1	1	1
group_00496	1	1	1
group_00497	1	1	1
group_00498	1	1	1
group_00499	1	1	1
group_00500	1	1	1
group_00501	1	1	1
group_00502	1	1	1
group_00503	1	1	1
group_00504	1	1	1
group_00505	1	1	1
group_00506	1	1	1
group_00507	1	1	1
group_00508	1	1	1
group_00509	1	1	1
group_00510	1	1	1
group_00511	1	1	1
group_00512	1	1	1
group_00513	1	1	1
group_00514	1	1	1
group_00515	1	1	1
group_00516	1	1	1
group_00517	1	1	1
group_00518	1	1	1
group_00519	1	1	1
group_00520	1	1	1
group_00521	1	1	1
group_00522	1	1	1
group_00523	1	1	1
group_00524	1	1	1
group_00525	1	1	1
group_00526	1	1	1
group_00527	1	1	1
group_00528	1	1	1
group_00529	1	1	1
group_00530	1	1	1
group_00531	1	1	1
group_00532	1	1	1
group_00533	1	1	1
group_00534	1	1	1
group_00535	1	1	1
group_00536	1	1	1
group_00537	1	1	1
group_00538	1	1	1
group_00539	1	1	1
group_00540	1	1	1
group_00541	1	1	1
group_00542	1	1	1
group_00543	1	1	1
group_00544	1	1	1
group_00545	1	1	1
group_00546	1	1	1
group_00547	1	1	1
group_00548	1	1	1
group_00549	1	1	1
group_00550	1	1	1
group_00551	1	1	1
group_00552	1	1	1
group_00553	1	1	1
group_00554	1	1	1
group_00555	1	1	1
group_00556	1	1	1
group_00557	1	1	1
group_00558	1	1	1
group_00559	1	1	1
group_00560	1	1	1
group_00561	1	1	1
group_00562	1	1	1
group_00563	1	1	1
group_00564	1	1	1
group_00565	1	1	1
group_00566	1	1	1
group_00567	1	1	1
group_00568	1	1	1
group_00569	1	1	1
group_00570	1	1	1
group_00571	1	1	1
group_00572	1	1	1
group_00573	1	1	1
group_00574	1	1	1
group_00575	1	1	1
group_00576	1	1	1
group_00577	1	1	1
group_00578	1	1	1
group_00579	1	1	1
group_00580	1	1	1
group_00581	1	1	1
group_00582	1	1	1
group_00583	1	1	1
group_00584	1	1	1
group_00585	1	1	1
group_00586	1	1	1
group_00587	1	1	1
group_00588	1	1	1
group_00589	1	1	1
group_00590	1	1	1
group_00591	1	1	1
group_00592	1	1	1
group_00593	1	1	1
group_00594	1	1	1
group_00595	1	1	1
group_00596	1	1	1
group_00597	2	1	0
group_00598	1	1	1
group_00599	1	1	1
group_00600	1	1	1
group_00601	1	1	1
group_00602	1	1	1
group_00603	1	1	1
group_00604	1	1	1
group_00605	1	1	1
group_00606	1	1	1
group_00607	1	1	1
group_00608	1	1	1
group_00609	1	1	1
group_00610	1	1	1
group_00611	1	1	1
group_00612	1	1	1
group_00613	1	1	1
group_00614	1	1	1
group_00615	1	1	1
group_00616	1	1	1
group_00617	1	1	1
group_00618	1	1	1
group_00619	1	1	1
group_00620	1	1	1
group_00621	1	1	1
group_00622	1	1	1
group_00623	1	1	1
group_00624	1	1	1
group_00625	1	1	1
group_00626	1	1	1
group_00627	1	1	1
group_00628	1	1	1
group_00629	1	1	1
group_00630	1	1	1
group_00631	1	1	1
group_00632	1	1	1
group_00633	1	1	1
group_00634	1	1	1
group_00635	1	1	1
group_00636	1	1	1
group_00637	1	1	1
group_00638	1	1	1
group_00639	1	1	1
group_00640	1	1	1
group_00641	1	1	1
group_00642	1	1	1
group_00643	1	1	1
group_00644	1	1	1
group_00645	1	1	1
group_00646	1	1	1
group_00647	1	1	1
group_00648	1	1	1
group_00649	1	1	1
group_00650	1	1	1
group_00651	1	1	1
group_00652	1	1	1
group_00653	1	1	1
group_00654	1	1	1
group_00655	1	1	1
group_00656	1	1	1
group_00657	1	1	1
group_00658	1	1	1
group_00659	1	1	1
group_00660	1	1	1
group_00661	1	1	1
group_00662	1	1	1
group_00663	1	1	1
group_00664	1	1	1
group_00665	1	1	1
group_00666	1	1	1
group_00667	1	1	1
group_00668	1	1	1
group_00669	1	1	1
group_00670	1	1	1
group_00671	1	1	1
group_00672	1	1	1
group_00673	1	1	1
group_00674	1	1	1
group_00675	1	1	1
group_00676	1	1	1
group_00677	1	1	1
group_00678	1	1	1
group_00679	1	1	1
group_00680	1	1	1
group_00681	1	1	1
group_00682	1	1	1
group_00683	1	1	1
group_00684	1	1	1
group_00685	1	1	1
group_00686	1	1	1
group_00687	1	1	1
group_00688	1	1	1
group_00689	1	1	1
group_00690	1	1	1
group_00691	1	1	1
group_00692	1	1	1
group_00693	1	1	1
group_00694	1	1	1
group_00695	1	1	1
group_00696	1	1	1
group_00697	1	1	1
group_00698	1	1	1
group_00699	1	1	1
group_00700	1	1	1
group_00701	1	1	1
group_00702	1	1	1
group_00703	1	1	1
group_00704	1	1	1
group_00705	1	1	1
group_00706	1	1	1
group_00707	1	1	1
group_00708	1	1	1
group_00709	1	1	1
group_00710	1	1	1
group_00711	1	1	1
group_00712	1	1	1
group_00713	1	1	1
group_00714	1	1	1
group_00715	1	1	1
group_00716	1	1	1
group_00717	1	1	1
group_00718	1	1	1
group_00719	1	1	1
group_00720	1	1	1
group_00721	1	1	1
group_00722	1	1	1
group_00723	1	1	1
group_00724	1	1	1
group_00725	1	1	1
group_00726	1	1	1
group_00727	1	1	1
group_00728	1	1	1
group_00729	1	1	1
group_00730	1	1	1
group_00731	1	1	1
group_00732	1	1	1
group_00733	1	1	1
group_00734	1	1	1
group_00735	1	1	1
group_00736	1	1	1
group_00737	1	1	1
group_00738	1	1	1
group_00739	1	1	1
group_00740	1	1	1
group_00741	1	1	1
group_00742	1	1	1
group_00743	1	1	1
group_00744	1	1	1
group_00745	1	1	1
group_00746	1	1	1
group_00747	1	1	1
group_00748	1	1	1
group_00749	1	1	1
group_00750	1	1	1
group_00751	1	1	1
group_00752	1	1	1
group_00753	1	1	1
group_00754	1	1	1
group_00755	1	1	1
group_00756	1	1	1
group_00757	1	1	1
group_00758	1	1	1
group_00759	1	1	1
group_00760	1	1	1
group_00761	1	1	1
group_00762	1	1	1
group_00763	1	1	1
group_00764	1	1	1
group_00765	1	1	1
group_00766	1	1	1
group_00767	1	1	1
group_00768	1	1	1
group_00769	1	1	1
group_00770	1	1	1
group_00771	1	1	1
group_00772	1	1	1
group_00773	1	1	1
group_00774	1	1	1
group_00775	1	1	1
group_00776	1	1	1
group_00777	1	1	1
group_00778	1	1	1
group_00779	1	1	1
group_00780	1	1	1
group_00781	1	1	1
group_00782	1	1	1
group_00783	1	1	1
group_00784	1	1	1
group_00785	1	1	1
group_00786	1	1	1
group_00787	1	1	1
group_00788	1	1	1
group_00789	1	1	1
group_00790	1	1	1
group_00791	1	1	1
group_00792	1	1	1
group_00793	1	1	1
group_00794	1	1	1
group_00795	1	1	1
group_00796	1	1	1
group_00797	1	1	1
group_00798	1	1	1
group_00799	1	1	1
group_00800	1	1	1
group_00801	1	1	1
group_00802	1	1	1
group_00803	1	1	1
group_00804	1	1	1
group_00805	1	1	1
group_00806	1	1	1
group_00807	1	1	1
group_00808	1	1	1
group_00809	1	1	1
group_00810	1	1	1
group_00811	1	1	1
group_00812	1	1	1
group_00813	1	1	1
group_00814	1	1	1
group_00815	1	1	1
group_00816	1	1	1
group_00817	1	1	1
group_00818	1	1	1
group_00819	1	1	1
group_00820	1	1	1
group_00821	1	1	1
group_00822	1	1	1
group_00823	1	1	1
group_00824	1	1	1
group_00825	1	1	1
group_00826	1	1	1
group_00827	1	1	1
group_00828	1	1	1
group_00829	1	1	1
group_00830	1	1	1
group_00831	1	1	1
group_00832	1	1	1
group_00833	1	1	1
group_00834	1	1	1
group_00835	1	1	1
group_00836	1	1	1
group_00837	1	1	1
group_00838	1	1	1
group_00839	1	1	1
group_00840	1	1	1
group_00841	1	1	1
group_00842	1	1	1
group_00843	1	1	1
group_00844	1	1	1
group_00845	1	1	1
group_00846	1	1	1
group_00847	1	1	1
group_00848	1	1	1
group_00849	1	1	1
group_00850	1	1	1
group_00851	1	1	1
group_00852	1	1	1
group_00853	1	1	1
group_00854	1	1	1
group_00855	1	1	1
group_00856	1	1	1
group_00857	1	1	1
group_00858	1	1	1
group_00859	1	1	1
group_00860	1	1	1
group_00861	1	1	1
group_00862	1	1	1
group_00863	1	1	1
group_00864	1	1	1
group_00865	1	1	1
group_00866	1	1	1
group_00867	1	1	1
group_00868	1	1	1
group_00869	1	1	1
group_00870	1	1	1
group_00871	1	1	1
group_00872	1	1	1
group_00873	1	1	1
group_00874	1	1	1
group_00875	1	1	1
group_00876	1	1	1
group_00877	1	1	1
group_00878	1	1	1
group_00879	1	1	1
group_00880	1	1	1
group_00881	1	1	1
group_00882	1	1	1
group_00883	1	1	1
group_00884	1	1	1
group_00885	1	1	1
group_00886	1	1	1
group_00887	1	1	1
group_00888	1	1	1
group_00889	1	1	1
group_00890	1	1	1
group_00891	1	1	1
group_00892	1	1	1
group_00893	1	1	1
group_00894	1	1	1
group_00895	1	1	1
group_00896	1	1	1
group_00897	1	1	1
group_00898	1	1	1
group_00899	1	1	1
group_00900	1	1	1
group_00901	1	1	1
group_00902	1	1	1
group_00903	1	1	1
group_00904	1	1	1
group_00905	1	1	1
group_00906	1	1	1
group_00907	1	1	1
group_00908	1	1	1
group_00909	1	1	1
group_00910	1	1	1
group_00911	1	1	1
group_00912	1	1	1
group_00913	1	1	1
group_00914	1	1	1
group_00915	1	1	1
group_00916	1	1	1
group_00917	1	1	1
group_00918	1	1	1
group_00919	1	1	1
group_00920	1	1	1
group_00921	1	1	1
group_00922	1	1	1
group_00923	1	1	1
group_00924	1	1	1
group_00925	1	1	1
group_00926	1	1	1
group_00927	1	1	1
group_00928	1	1	1
group_00929	1	1	1
group_00930	1	1	1
group_00931	1	1	1
group_00932	1	1	1
group_00933	1	1	1
group_00934	1	1	1
group_00935	1	1	1
group_00936	1	1	1
group_00937	1	1	1
group_00938	1	1	1
group_00939	1	1	1
group_00940	1	1	1
group_00941	1	1	1
group_00942	1	1	1
group_00943	1	1	1
group_00944	1	1	1
group_00945	1	1	1
group_00946	1	1	1
group_00947	1	1	1
group_00948	1	1	1
group_00949	1	1	1
group_00950	1	1	1
group_00951	1	1	1
group_00952	1	1	1
group_00953	1	1	1
group_00954	1	1	1
group_00955	1	1	1
group_00956	1	1	1
group_00957	1	1	1
group_00958	1	1	1
group_00959	1	1	1
group_00960	1	1	1
group_00961	1	1	1
group_00962	1	1	1
group_00963	1	1	1
group_00964	1	1	1
group_00965	1	1	1
group_00966	1	1	1
group_00967	1	1	1
group_00968	1	1	1
group_00969	1	1	1
group_00970	1	1	1
group_00971	1	1	1
group_00972	1	1	1
group_00973	1	1	1
group_00974	1	1	1
group_00975	1	1	1
group_00976	1	1	1
group_00977	1	1	1
group_00978	1	1	1
group_00979	1	1	1
group_00980	1	1	1
group_00981	1	1	1
group_00982	1	1	1
group_00983	1	1	1
group_00984	1	1	1
group_00985	1	1	1
group_00986	1	1	1
group_00987	1	1	1
group_00988	1	1	1
group_00989	1	1	1
group_00990	1	1	1
group_00991	1	1	1
group_00992	1	1	1
group_00993	1	1	1
group_00994	1	1	1
group_00995	1	1	1
group_00996	1	1	1
group_00997	1	1	1
group_00998	1	1	1
group_00999	1	1	1
group_01000	1	1	1
group_01001	1	1	1
group_01002	1	1	1
group_01003	1	1	1
group_01004	1	1	1
group_01005	1	1	1
group_01006	1	1	1
group_01007	1	1	1
group_01008	1	1	1
group_01009	1	1	1
group_01010	1	1	1
group_01011	1	1	1
group_01012	1	1	1
group_01013	1	1	1
group_01014	1	1	1
group_01015	1	1	1
group_01016	1	1	1
group_01017	1	1	1
group_01018	1	1	1
group_01019	1	1	1
group_01020	1	1	1
group_01021	1	1	1
group_01022	1	1	1
group_01023	1	1	1
group_01024	1	1	1
group_01025	1	1	1
group_01026	1	1	1
group_01027	1	1	1
group_01028	1	1	1
group_01029	1	1	1
group_01030	1	1	1
group_01031	1	1	1
group_01032	1	1	1
group_01033	1	1	1
group_01034	1	1	1
group_01035	1	1	1
group_01036	1	1	1
group_01037	1	1	1
group_01038	1	1	1
group_01039	1	1	1
group_01040	1	1	1
group_01041	1	1	1
group_01042	1	1	1
group_01043	1	1	1
group_01044	1	1	1
group_01045	1	1	1
group_01046	1	1	1
group_01047	1	1	1
group_01048	1	1	1
group_01049	1	1	1
group_01050	1	1	1
group_01051	1	1	1
group_01052	1	1	1
group_01053	1	1	1
group_01054	1	1	1
group_01055	1	1	1
group_01056	1	1	1
group_01057	1	1	1
group_01058	1	1	1
group_01059	1	1	1
group_01060	1	1	1
group_01061	1	1	1
group_01062	1	1	1
group_01063	1	1	1
group_01064	1	1	1
group_01065	1	1	1
group_01066	1	1	1
group_01067	1	1	1
group_01068	1	1	1
group_01069	1	1	1
group_01070	1	1	1
group_01071	1	1	1
group_01072	1	1	1
group_01073	1	1	1
group_01074	1	1	1
group_01075	1	1	1
group_01076	1	1	1
group_01077	1	1	1
group_01078	1	1	1
group_01079	1	1	1
group_01080	1	1	1
group_01081	1	1	1
group_01082	1	1	1
group_01083	1	1	1
group_01084	1	1	1
group_01085	1	1	1
group_01086	1	1	1
group_01087	1	1	1
group_01088	1	1	1
group_01089	1	1	1
group_01090	1	1	1
group_01091	1	1	1
group_01092	1	1	1
group_01093	1	1	1
group_01094	1	1	1
group_01095	1	1	1
group_01096	1	1	1
group_01097	1	1	1
group_01098	1	1	1
group_01099	1	1	1
group_01100	1	1	1
group_01101	1	1	1
group_01102	1	1	1
group_01103	1	1	1
group_01104	1	1	1
group_01105	1	1	1
group_01106	1	1	1
group_01107	1	1	1
group_01108	1	1	1
group_01109	1	1	1
group_01110	1	1	1
group_01111	1	1	1
group_01112	1	1	1
group_01113	1	1	1
group_01114	1	1	1
group_01115	1	1	1
group_01116	1	1	1
group_01117	1	1	1
group_01118	1	1	1
group_01119	1	1	1
group_01120	1	1	1
group_01121	1	1	1
group_01122	1	1	1
group_01123	1	1	1
group_01124	1	1	1
group_01125	1	1	1
group_01126	1	1	1
group_01127	1	1	1
group_01128	1	1	1
group_01129	1	1	1
group_01130	1	1	1
group_01131	1	1	1
group_01132	1	1	1
group_01133	1	1	1
group_01134	1	1	1
group_01135	1	1	1
group_01136	1	1	1
group_01137	1	1	1
group_01138	1	1	1
group_01139	1	1	1
group_01140	1	1	1
group_01141	1	1	1
group_01142	1	1	1
group_01143	1	1	1
group_01144	1	1	1
group_01145	1	1	1
group_01146	1	1	1
group_01147	1	1	1
group_01148	1	1	1
group_01149	1	1	1
group_01150	1	1	1
group_01151	1	1	1
group_01152	1	1	1
group_01153	1	1	1
group_01154	1	1	1
group_01155	1	1	1
group_01156	1	1	1
group_01157	1	1	1
group_01158	1	1	1
group_01159	1	1	1
group_01160	1	1	1
group_01161	1	1	1
group_01162	1	1	1
group_01163	1	1	1
group_01164	1	1	1
group_01165	1	1	1
group_01166	1	1	1
group_01167	1	1	1
group_01168	1	1	1
group_01169	1	1	1
group_01170	1	1	1
group_01171	1	1	1
group_01172	1	1	1
group_01173	1	1	1
group_01174	1	1	1
group_01175	1	1	1
group_01176	1	1	1
group_01177	1	1	1
group_01178	1	1	1
group_01179	1	1	1
group_01180	1	1	1
group_01181	1	1	1
group_01182	1	1	1
group_01183	1	1	1
group_01184	1	1	1
group_01185	1	1	1
group_01186	1	1	1
group_01187	1	1	1
group_01188	1	1	1
group_01189	1	1	1
group_01190	1	1	1
group_01191	1	1	1
group_01192	1	1	1
group_01193	1	1	1
group_01194	1	1	1
group_01195	1	1	1
group_01196	1	1	1
group_01197	1	1	1
group_01198	1	1	1
group_01199	1	1	1
group_01200	1	1	1
group_01201	1	1	1
group_01202	1	1	1
group_01203	1	1	1
group_01204	1	1	1
group_01205	1	1	1
group_01206	1	1	1
group_01207	1	1	1
group_01208	1	1	1
group_01209	1	1	1
group_01210	1	1	1
group_01211	1	1	1
group_01212	1	1	1
group_01213	1	1	1
group_01214	1	1	1
group_01215	1	1	1
group_01216	1	1	1
group_01217	1	1	1
group_01218	1	1	1
group_01219	1	1	1
group_01220	1	1	1
group_01221	1	1	1
group_01222	1	1	1
group_01223	1	1	1
group_01224	1	1	1
group_01225	1	1	1
group_01226	1	1	1
group_01227	1	1	1
group_01228	1	1	1
group_01229	1	1	1
group_01230	1	1	1
group_01231	1	1	1
group_01232	1	1	1
group_01233	1	1	1
group_01234	1	1	1
group_01235	1	1	1
group_01236	1	1	1
group_01237	1	1	1
group_01238	1	1	1
group_01239	1	1	1
group_01240	1	1	1
group_01241	1	1	1
group_01242	1	1	1
group_01243	1	1	1
group_01244	1	1	1
group_01245	1	1	1
group_01246	1	1	1
group_01247	1	1	1
group_01248	1	1	1
group_01249	1	1	1
group_01250	1	1	1
group_01251	1	1	1
group_01252	1	1	1
group_01253	1	1	1
group_01254	1	1	1
group_01255	1	1	1
group_01256	1	1	1
group_01257	1	1	1
group_01258	1	1	1
group_01259	1	1	1
group_01260	1	1	1
group_01261	1	1	1
group_01262	1	1	1
group_01263	1	1	1
group_01264	1	1	1
