"X","Dickeya_dadantii_3937","Dickeya_dianthicola_67_19","Dickeya_dianthicola_ME23","Dda3937_locus","DdiaME23_locus","Ddia6719_locus"
"group_00004","WP_013316608.1","WP_192989450.1","WP_024107309.1","DDA3937_RS04430","DZA65_RS19300","HGI48_RS18160"
"group_00004","WP_013318140.1","WP_161132278.1","WP_024107309.1","DDA3937_RS11725","DZA65_RS19300","HGI48_RS02300"
"group_00004","WP_013318140.1","WP_192989450.1","WP_024107309.1","DDA3937_RS11725","DZA65_RS19300","HGI48_RS18160"
"group_00005","WP_013317431.1","WP_012768898.1","WP_024106078.1","DDA3937_RS08360","DZA65_RS11925","HGI48_RS08525"
"group_00005","WP_013317431.1","WP_192991478.1","WP_024106078.1","DDA3937_RS08360","DZA65_RS11925","HGI48_RS11595"
"group_00005","WP_013316529.1","WP_012768898.1","WP_024106078.1","DDA3937_RS04045","DZA65_RS11925","HGI48_RS08525"
"group_00005","WP_013316529.1","WP_192991478.1","WP_024106078.1","DDA3937_RS04045","DZA65_RS11925","HGI48_RS11595"
"group_00006","WP_013315785.1","WP_192988877.1","WP_099327157.1","DDA3937_RS00380","DZA65_RS04695","HGI48_RS13895"
"group_00006","WP_013315785.1","WP_192988877.1","WP_099327158.1","DDA3937_RS00380","DZA65_RS09440","HGI48_RS13895"
"group_00006","WP_013315785.1","WP_192988877.1","WP_116587119.1","DDA3937_RS00380","DZA65_RS10660","HGI48_RS13895"
"group_00007","WP_013318565.1","WP_192990810.1","WP_103415735.1","DDA3937_RS13735","DZA65_RS07740","HGI48_RS07230"
"group_00007","WP_013318565.1","WP_192988866.1","WP_103415735.1","DDA3937_RS13735","DZA65_RS07740","HGI48_RS13830"
"group_00008","WP_107768474.1","WP_192991502.1","WP_103415912.1","DDA3937_RS12900","DZA65_RS13435","HGI48_RS12970"
"group_00008","WP_107768474.1","WP_192991502.1","WP_116587132.1","DDA3937_RS12900","DZA65_RS13440","HGI48_RS12970"
"group_00009","WP_013317316.1","WP_192991168.1","WP_024105728.1","DDA3937_RS07825","DZA65_RS10100","HGI48_RS09790"
"group_00009","WP_013317738.1","WP_192991168.1","WP_024105728.1","DDA3937_RS09775","DZA65_RS10100","HGI48_RS09790"
"group_00010","WP_081441344.1","WP_192990787.1","WP_103415725.1","DDA3937_RS13885","DZA65_RS07585","HGI48_RS07080"
"group_00010","WP_081441344.1","WP_192990787.1","WP_024108968.1","DDA3937_RS13885","DZA65_RS14460","HGI48_RS07080"
"group_00011","WP_013317737.1","WP_024105727.1","WP_024105727.1","DDA3937_RS09770","DZA65_RS10095","HGI48_RS09785"
"group_00011","WP_033111754.1","WP_024105727.1","WP_024105727.1","DDA3937_RS07820","DZA65_RS10095","HGI48_RS09785"
"group_00012","WP_033111755.1","WP_024105730.1","WP_024105730.1","DDA3937_RS07835","DZA65_RS10110","HGI48_RS09800"
"group_00012","WP_033111826.1","WP_024105730.1","WP_024105730.1","DDA3937_RS09785","DZA65_RS10110","HGI48_RS09800"
"group_00013","WP_013316053.1","WP_192990062.1","WP_024108994.1","DDA3937_RS01770","DZA65_RS14610","HGI48_RS01665"
"group_00013","WP_013316442.1","WP_192990062.1","WP_024108994.1","DDA3937_RS03655","DZA65_RS14610","HGI48_RS01665"
"group_00014","WP_013318567.1","WP_192990807.1","WP_024106417.1","DDA3937_RS13750","DZA65_RS07725","HGI48_RS07210"
"group_00014","WP_013318567.1","WP_192990807.1","WP_024108336.1","DDA3937_RS13750","DZA65_RS08865","HGI48_RS07210"
"group_00015","WP_013316248.1","WP_192990515.1","WP_024108969.1","DDA3937_RS02675","DZA65_RS14465","HGI48_RS04865"
"group_00015","WP_013316248.1","WP_192990509.1","WP_024108969.1","DDA3937_RS02675","DZA65_RS14465","HGI48_RS04830"
"group_00016","WP_033112288.1","WP_192991446.1","WP_024108871.1","DDA3937_RS08195","DZA65_RS13235","HGI48_RS08175"
"group_00016","WP_033112288.1","WP_192990958.1","WP_024108871.1","DDA3937_RS08195","DZA65_RS13235","HGI48_RS08205"
"group_00017","WP_013316485.1","WP_192990434.1","WP_024108266.1","DDA3937_RS03855","DZA65_RS04000","HGI48_RS04290"
"group_00017","WP_013317595.1","WP_192990434.1","WP_024108266.1","DDA3937_RS09105","DZA65_RS04000","HGI48_RS04290"
"group_00018","WP_081441339.1","WP_192990420.1","None",NA,NA,"HGI48_RS04140"
"group_00018","WP_081441339.1","WP_192990557.1","None",NA,NA,"HGI48_RS05250"
"group_00018","WP_081441339.1","WP_192991350.1","None",NA,NA,"HGI48_RS11030"
"group_00019","WP_013318624.1","WP_192988884.1","WP_024108344.1","DDA3937_RS13965","DZA65_RS08820","HGI48_RS13950"
"group_00019","WP_013318624.1","WP_192988884.1","WP_024108941.1","DDA3937_RS13965","DZA65_RS07565","HGI48_RS13950"
"group_00020","WP_033112377.1","WP_192988982.1","WP_046830472.1","DDA3937_RS14685","DZA65_RS15570","HGI48_RS14625"
"group_00021","WP_013316032.1","WP_192990048.1","WP_024104261.1","DDA3937_RS01665","DZA65_RS01635","HGI48_RS01560"
"group_00022","WP_013318013.1","WP_192991472.1","WP_103415888.1","DDA3937_RS11095","DZA65_RS11495","HGI48_RS11115"
"group_00023","WP_013320010.1","WP_192989916.1","WP_024107803.1","DDA3937_RS20865","DZA65_RS00380","HGI48_RS00380"
"group_00024","WP_013315926.1","WP_192989995.1","WP_024104178.1","DDA3937_RS01105","DZA65_RS01165","HGI48_RS01095"
"group_00025","WP_013315925.1","WP_024104177.1","WP_024104177.1","DDA3937_RS01100","DZA65_RS01160","HGI48_RS01090"
"group_00026","WP_013318184.1","WP_192988639.1","WP_024108834.1","DDA3937_RS11925","DZA65_RS12465","HGI48_RS12015"
"group_00027","WP_013318655.1","WP_192988903.1","WP_024106552.1","DDA3937_RS14090","DZA65_RS14750","HGI48_RS14090"
"group_00028","WP_033112387.1","WP_192991534.1","WP_103415714.1","DDA3937_RS15655","DZA65_RS16830","HGI48_RS15750"
"group_00029","WP_013317760.1","WP_192991184.1","WP_103415937.1","DDA3937_RS09890","DZA65_RS10235","HGI48_RS09900"
"group_00030","WP_033112187.1","WP_192991380.1","WP_024104228.1","DDA3937_RS01455","DZA65_RS01435","HGI48_RS01375"
"group_00031","WP_013318257.1","WP_192988691.1","WP_024106228.1","DDA3937_RS12270","DZA65_RS12800","HGI48_RS12360"
"group_00032","WP_013319393.1","WP_192989394.1","WP_024107218.1","DDA3937_RS17675","DZA65_RS18815","HGI48_RS17680"
"group_00033","WP_013319867.1","WP_192989686.1","WP_103415951.1","DDA3937_RS20115","DZA65_RS21300","HGI48_RS20255"
"group_00034","WP_013319670.1","WP_192991562.1","WP_024107489.1","DDA3937_RS19040","DZA65_RS20250","HGI48_RS19130"
"group_00035","WP_013318010.1","WP_192991362.1","WP_024110007.1","DDA3937_RS11080","DZA65_RS11480","HGI48_RS11100"
"group_00036","WP_013316765.1","WP_192990551.1","WP_024108433.1","DDA3937_RS05190","DZA65_RS05530","HGI48_RS05190"
"group_00037","WP_013316426.1","WP_192990339.1","WP_024104696.1","DDA3937_RS03575","DZA65_RS03795","HGI48_RS03675"
"group_00038","WP_013317151.1","WP_192990926.1","WP_024105454.1","DDA3937_RS07080","DZA65_RS08605","HGI48_RS08010"
"group_00039","WP_013320041.1","WP_192989894.1","WP_024109350.1","DDA3937_RS21015","DZA65_RS00230","HGI48_RS00225"
"group_00040","WP_013319282.1","WP_192989319.1","WP_024107123.1","DDA3937_RS17155","DZA65_RS18290","HGI48_RS17210"
"group_00041","WP_033112101.1","WP_192989548.1","WP_024109246.1","DDA3937_RS18930","DZA65_RS20040","HGI48_RS18935"
"group_00042","WP_013315818.1","WP_192989752.1","WP_103415855.1","DDA3937_RS00540","DZA65_RS21865","HGI48_RS20850"
"group_00043","WP_193345732.1","WP_192988779.1","WP_024106359.1","DDA3937_RS13000","DZA65_RS13530","HGI48_RS13065"
"group_00044","WP_033111865.1","WP_192991363.1","WP_103415883.1","DDA3937_RS11085","DZA65_RS11485","HGI48_RS11105"
"group_00045","WP_013319520.1","WP_024110167.1","WP_024107325.1","DDA3937_RS18305","DZA65_RS19380","HGI48_RS18240"
"group_00046","WP_013317218.1","WP_192990811.1","WP_029729363.1","DDA3937_RS07375","DZA65_RS07750","HGI48_RS07240"
"group_00047","WP_013317320.1","WP_192990861.1","WP_103415747.1","DDA3937_RS07850","DZA65_RS08170","HGI48_RS07615"
"group_00048","WP_013318676.1","WP_192988914.1","WP_024109010.1","DDA3937_RS14175","DZA65_RS14830","HGI48_RS14160"
"group_00049","WP_033111687.1","WP_192990628.1","WP_024108461.1","DDA3937_RS05750","DZA65_RS06130","HGI48_RS05805"
"group_00050","WP_013318366.1","WP_192988750.1","WP_024106321.1","DDA3937_RS12795","DZA65_RS13325","HGI48_RS12860"
"group_00051","WP_013316812.1","WP_192990595.1","WP_024109690.1","DDA3937_RS05415","DZA65_RS05800","HGI48_RS05475"
"group_00052","WP_013317959.1","WP_192991316.1","WP_103415877.1","DDA3937_RS10845","DZA65_RS11265","HGI48_RS10800"
"group_00053","WP_013317703.1","WP_192991142.1","WP_024105694.1","DDA3937_RS09595","DZA65_RS09920","HGI48_RS09610"
"group_00054","WP_013318664.1","WP_192988908.1","WP_024106559.1","DDA3937_RS14120","DZA65_RS14780","HGI48_RS14120"
"group_00055","WP_013316873.1","WP_024104996.1","WP_024108458.1","DDA3937_RS05735","DZA65_RS06115","HGI48_RS05790"
"group_00056","WP_013316102.1","WP_192990101.1","WP_024104343.1","DDA3937_RS01985","DZA65_RS02050","HGI48_RS01945"
"group_00057","WP_013318913.1","WP_192989087.1","WP_024109062.1","DDA3937_RS15270","DZA65_RS16170","HGI48_RS15350"
"group_00058","WP_013318912.1","WP_192989086.1","WP_024106769.1","DDA3937_RS15265","DZA65_RS16165","HGI48_RS15345"
"group_00059","WP_013317019.1","WP_192990708.1","WP_024105121.1","DDA3937_RS06460","DZA65_RS06845","HGI48_RS06500"
"group_00060","WP_013316476.1","WP_192990909.1","WP_024108641.1","DDA3937_RS03810","DZA65_RS08510","HGI48_RS07915"
"group_00061","WP_013319652.1","WP_192989562.1","WP_024107476.1","DDA3937_RS18955","DZA65_RS20165","HGI48_RS19050"
"group_00062","WP_013316356.1","WP_192990301.1","WP_103415864.1","DDA3937_RS03255","DZA65_RS03445","HGI48_RS03400"
"group_00063","WP_013319527.1","WP_192989465.1","WP_024110168.1","DDA3937_RS18340","DZA65_RS19415","HGI48_RS18275"
"group_00064","WP_013319379.1","WP_024107202.1","WP_024107202.1","DDA3937_RS17605","DZA65_RS18735","HGI48_RS17610"
"group_00065","WP_013319505.1","WP_192989452.1","WP_024107311.1","DDA3937_RS18235","DZA65_RS19310","HGI48_RS18170"
"group_00066","WP_148226867.1","WP_192990525.1","WP_046830379.1","DDA3937_RS04920","DZA65_RS05265","HGI48_RS04930"
"group_00067","WP_033112069.1","WP_192989397.1","WP_024109189.1","DDA3937_RS17690","DZA65_RS18830","HGI48_RS17695"
"group_00068","WP_033112240.1","WP_192990534.1","WP_103415852.1","DDA3937_RS04985","DZA65_RS05335","HGI48_RS04995"
"group_00069","WP_033111948.1","WP_192990796.1","WP_103415890.1","DDA3937_RS13845","DZA65_RS14385","HGI48_RS07125"
"group_00070","WP_033111760.1","WP_192990878.1","WP_103415750.1","DDA3937_RS07945","DZA65_RS08295","HGI48_RS07700"
"group_00071","WP_013315729.1","WP_192989803.1","WP_024108049.1","DDA3937_RS00105","DZA65_RS22235","HGI48_RS21260"
"group_00072","WP_013316748.1","WP_192990542.1","WP_024104873.1","DDA3937_RS05105","DZA65_RS05445","HGI48_RS05105"
"group_00073","WP_033112037.1","WP_192989312.1","WP_026594837.1","DDA3937_RS17105","DZA65_RS18240","HGI48_RS17155"
"group_00074","WP_013319442.1","WP_024107254.1","WP_024107254.1","DDA3937_RS17925","DZA65_RS19000","HGI48_RS17850"
"group_00075","WP_013318654.1","WP_192988902.1","WP_024106551.1","DDA3937_RS14085","DZA65_RS14745","HGI48_RS14085"
"group_00076","WP_071819871.1","WP_192990638.1","WP_029729329.1","DDA3937_RS05890","DZA65_RS06270","HGI48_RS05935"
"group_00077","WP_013318704.1","WP_192988931.1","WP_024106593.1","DDA3937_RS14310","DZA65_RS14960","HGI48_RS14285"
"group_00078","WP_013319907.1","WP_161131625.1","WP_103415768.1","DDA3937_RS20360","DZA65_RS00895","HGI48_RS00850"
"group_00079","WP_013317001.1","WP_192990695.1","WP_024105105.1","DDA3937_RS06370","DZA65_RS06760","HGI48_RS06415"
"group_00080","WP_013317861.1","WP_192991250.1","WP_024108759.1","DDA3937_RS10360","DZA65_RS10845","HGI48_RS10370"
"group_00081","WP_013319832.1","WP_024107632.1","WP_024107632.1","DDA3937_RS19915","DZA65_RS21115","HGI48_RS20070"
"group_00082","WP_013316972.1","WP_192990676.1","WP_024105078.1","DDA3937_RS06200","DZA65_RS06590","HGI48_RS06245"
"group_00083","WP_013319254.1","WP_192989300.1","WP_024109162.1","DDA3937_RS17025","DZA65_RS18155","HGI48_RS17080"
"group_00084","WP_013319457.1","WP_192989420.1","WP_024109196.1","DDA3937_RS18000","DZA65_RS19080","HGI48_RS17935"
"group_00085","WP_013318316.1","WP_192988725.1","WP_024106279.1","DDA3937_RS12555","DZA65_RS13065","HGI48_RS12610"
"group_00086","WP_013318385.1","WP_192988763.1","WP_103415903.1","DDA3937_RS12885","DZA65_RS13420","HGI48_RS12955"
"group_00087","WP_013319096.1","WP_192989203.1","WP_024106966.1","DDA3937_RS16235","DZA65_RS17440","HGI48_RS16345"
"group_00088","WP_013316909.1","WP_192990639.1","WP_024105025.1","DDA3937_RS05900","DZA65_RS06280","HGI48_RS05945"
"group_00089","WP_013317897.1","WP_192991276.1","WP_024105897.1","DDA3937_RS10535","DZA65_RS11015","HGI48_RS10535"
"group_00090","WP_013319433.1","WP_192989413.1","WP_024107248.1","DDA3937_RS17885","DZA65_RS18970","HGI48_RS17825"
"group_00091","WP_013316826.1","WP_192990606.1","WP_103415782.1","DDA3937_RS05495","DZA65_RS05880","HGI48_RS05555"
"group_00092","WP_013319405.1","WP_192989401.1","WP_024107228.1","DDA3937_RS17735","DZA65_RS18875","HGI48_RS17730"
"group_00093","WP_013319211.1","WP_192989272.1","WP_024107060.1","DDA3937_RS16785","DZA65_RS17930","HGI48_RS16855"
"group_00094","WP_013319762.1","WP_192989616.1","WP_024107576.1","DDA3937_RS19580","DZA65_RS20795","HGI48_RS19710"
"group_00095","WP_013318196.1","WP_192988648.1","WP_024106173.1","DDA3937_RS11985","DZA65_RS12525","HGI48_RS12075"
"group_00096","WP_013316898.1","WP_192990635.1","WP_024105014.1","DDA3937_RS05845","DZA65_RS06225","HGI48_RS05890"
"group_00097","WP_013318454.1","WP_192988807.1","WP_024108886.1","DDA3937_RS13215","DZA65_RS13750","HGI48_RS13275"
"group_00098","WP_013318260.1","WP_192988693.1","WP_103415914.1","DDA3937_RS12285","DZA65_RS12815","HGI48_RS12375"
"group_00099","WP_013319791.1","WP_192989632.1","WP_024107597.1","DDA3937_RS19725","DZA65_RS20910","HGI48_RS19835"
"group_00100","WP_013318416.1","WP_192988781.1","WP_024108879.1","DDA3937_RS13020","DZA65_RS13555","HGI48_RS13085"
"group_00101","WP_013316773.1","WP_192991412.1","WP_103415849.1","DDA3937_RS05230","DZA65_RS05570","HGI48_RS05230"
"group_00102","WP_013319073.1","WP_192989192.1","WP_024106948.1","DDA3937_RS16100","DZA65_RS17320","HGI48_RS16225"
"group_00103","WP_013319780.1","WP_192989628.1","WP_103415763.1","DDA3937_RS19665","DZA65_RS20885","HGI48_RS19795"
"group_00104","WP_013317147.1","WP_192990923.1","WP_024105450.1","DDA3937_RS07060","DZA65_RS08585","HGI48_RS07990"
"group_00105","WP_013316758.1","WP_161132140.1","WP_024108429.1","DDA3937_RS05155","DZA65_RS05495","HGI48_RS05155"
"group_00106","WP_077245922.1","WP_192989455.1","WP_035045499.1","DDA3937_RS18250","DZA65_RS19325","HGI48_RS18185"
"group_00107","WP_013316906.1","WP_192990637.1","WP_024105022.1","DDA3937_RS05885","DZA65_RS06265","HGI48_RS05930"
"group_00108","WP_013315903.1","WP_109105253.1","WP_024104160.1","DDA3937_RS00955","DZA65_RS21465","HGI48_RS20420"
"group_00109","WP_013320097.1","WP_192989860.1","WP_103415820.1","DDA3937_RS21280","DZA65_RS00020","HGI48_RS00020"
"group_00110","WP_013319543.1","WP_161143002.1","WP_024107345.1","DDA3937_RS18415","DZA65_RS19485","HGI48_RS18345"
"group_00111","WP_013319040.1","WP_192989177.1","WP_029729688.1","DDA3937_RS15915","DZA65_RS17115","HGI48_RS16030"
"group_00112","WP_013317960.1","WP_192991317.1","WP_024105949.1","DDA3937_RS10850","DZA65_RS11270","HGI48_RS10805"
"group_00113","WP_013319171.1","WP_192989246.1","WP_024109151.1","DDA3937_RS16595","DZA65_RS17755","HGI48_RS16665"
"group_00114","WP_013316262.1","WP_192990210.1","WP_024108198.1","DDA3937_RS02750","DZA65_RS02880","HGI48_RS02725"
"group_00115","WP_013319504.1","WP_192989451.1","WP_024109204.1","DDA3937_RS18230","DZA65_RS19305","HGI48_RS18165"
"group_00116","WP_013320001.1","WP_192991372.1","WP_024107795.1","DDA3937_RS20825","DZA65_RS00420","HGI48_RS00420"
"group_00117","WP_033112042.1","WP_192989332.1","WP_024109176.1","DDA3937_RS17260","DZA65_RS18405","HGI48_RS17315"
"group_00118","WP_013318368.1","WP_161132602.1","WP_024106323.1","DDA3937_RS12805","DZA65_RS13340","HGI48_RS12875"
"group_00119","WP_013318443.1","WP_192988800.1","WP_024108884.1","DDA3937_RS13160","DZA65_RS13700","HGI48_RS13225"
"group_00120","WP_013318079.1","WP_024110017.1","WP_024106054.1","DDA3937_RS11410","DZA65_RS11795","HGI48_RS11450"
"group_00121","WP_013316924.1","WP_192990646.1","WP_024108476.1","DDA3937_RS05970","DZA65_RS06365","HGI48_RS06020"
"group_00122","WP_013319795.1","WP_192989636.1","WP_024107601.1","DDA3937_RS19745","DZA65_RS20930","HGI48_RS19855"
"group_00123","WP_013317716.1","WP_192991151.1","WP_024105705.1","DDA3937_RS09655","DZA65_RS09975","HGI48_RS09665"
"group_00124","WP_013319911.1","WP_192989964.1","WP_024109310.1","DDA3937_RS20380","DZA65_RS00875","HGI48_RS00820"
"group_00125","WP_033111502.1","WP_192989753.1","WP_162928393.1","DDA3937_RS00535","DZA65_RS21870","HGI48_RS20855"
"group_00126","WP_013316856.1","WP_024104981.1","WP_024104981.1","DDA3937_RS05650","DZA65_RS06020","HGI48_RS05695"
"group_00127","WP_013317519.1","WP_192991038.1","WP_024105546.1","DDA3937_RS08755","DZA65_RS09150","HGI48_RS08845"
"group_00128","WP_013316904.1","WP_024105020.1","WP_024105020.1","DDA3937_RS05875","DZA65_RS06255","HGI48_RS05920"
"group_00129","WP_013319252.1","WP_192989298.1","WP_024109160.1","DDA3937_RS17015","DZA65_RS18145","HGI48_RS17070"
"group_00130","WP_033112168.1","WP_192989833.1","WP_103415821.1","DDA3937_RS21490","DZA65_RS22520","HGI48_RS21540"
"group_00131","WP_033112009.1","WP_192989178.1","WP_024106919.1","DDA3937_RS15920","DZA65_RS17120","HGI48_RS16035"
"group_00132","WP_013318817.1","WP_192989003.1","WP_024109047.1","DDA3937_RS14835","DZA65_RS15715","HGI48_RS14765"
"group_00133","WP_013316322.1","WP_161132772.1","WP_024104593.1","DDA3937_RS03070","DZA65_RS03235","HGI48_RS03240"
"group_00134","WP_013317224.1","WP_192990816.1","WP_024108577.1","DDA3937_RS07405","DZA65_RS07790","HGI48_RS07280"
"group_00135","WP_013316055.1","WP_192990064.1","WP_024104281.1","DDA3937_RS01780","DZA65_RS01750","HGI48_RS01675"
"group_00136","WP_013316592.1","WP_192990438.1","WP_024104740.1","DDA3937_RS04355","DZA65_RS04265","HGI48_RS04345"
"group_00137","WP_013317698.1","WP_192991139.1","WP_024105689.1","DDA3937_RS09560","DZA65_RS09885","HGI48_RS09575"
"group_00138","WP_033112341.1","WP_192988704.1","WP_024106246.1","DDA3937_RS12365","DZA65_RS12890","HGI48_RS12445"
"group_00139","WP_033111734.1","WP_192990940.1","WP_024105470.1","DDA3937_RS07265","DZA65_RS08685","HGI48_RS08090"
"group_00140","WP_013319774.1","WP_192989625.1","WP_024109271.1","DDA3937_RS19635","DZA65_RS20860","HGI48_RS19770"
"group_00141","WP_033111759.1","WP_192990877.1","WP_024105389.1","DDA3937_RS07940","DZA65_RS08290","HGI48_RS07695"
"group_00142","WP_013318103.1","WP_192988580.1","WP_024106074.1","DDA3937_RS11525","DZA65_RS11905","HGI48_RS11570"
"group_00143","WP_013316076.1","WP_192990084.1","WP_103415805.1","DDA3937_RS01875","DZA65_RS01880","HGI48_RS01825"
"group_00144","WP_013317092.1","WP_192990751.1","WP_024105193.1","DDA3937_RS06825","DZA65_RS07200","HGI48_RS06860"
"group_00145","WP_013315899.1","WP_192991571.1","WP_024108080.1","DDA3937_RS00935","DZA65_RS21485","HGI48_RS20440"
"group_00146","WP_013319825.1","WP_192991568.1","WP_103415945.1","DDA3937_RS19880","DZA65_RS21080","HGI48_RS20035"
"group_00147","WP_033112068.1","WP_192989396.1","WP_024107220.1","DDA3937_RS17685","DZA65_RS18825","HGI48_RS17690"
"group_00148","WP_013316699.1","WP_192990518.1","WP_024104831.1","DDA3937_RS04870","DZA65_RS05225","HGI48_RS04890"
"group_00149","WP_013316719.1","WP_192991410.1","WP_103415850.1","DDA3937_RS04950","DZA65_RS05300","HGI48_RS04960"
"group_00150","WP_033112370.1","WP_192988928.1","WP_024109015.1","DDA3937_RS14270","DZA65_RS14920","HGI48_RS14245"
"group_00151","WP_013317326.1","WP_192990865.1","WP_024108618.1","DDA3937_RS07875","DZA65_RS08195","HGI48_RS07635"
"group_00152","WP_013319779.1","WP_192989627.1","WP_024107591.1","DDA3937_RS19660","DZA65_RS20880","HGI48_RS19790"
"group_00153","WP_033111875.1","WP_192988573.1","WP_024106063.1","DDA3937_RS11465","DZA65_RS11845","HGI48_RS11510"
"group_00154","WP_013319123.1","WP_192989219.1","WP_103415636.1","DDA3937_RS16360","DZA65_RS17545","HGI48_RS16460"
"group_00155","WP_013317520.1","WP_192991039.1","WP_024105547.1","DDA3937_RS08765","DZA65_RS09155","HGI48_RS08850"
"group_00156","WP_013319706.1","WP_024107524.1","WP_024107524.1","DDA3937_RS19310","DZA65_RS20530","HGI48_RS19410"
"group_00157","WP_013320153.1","WP_192989815.1","WP_024107932.1","DDA3937_RS21550","DZA65_RS22415","HGI48_RS21435"
"group_00158","WP_013319065.1","WP_192989186.1","WP_024106940.1","DDA3937_RS16030","DZA65_RS17235","HGI48_RS16150"
"group_00159","WP_013319321.1","WP_192989344.1","WP_024107156.1","DDA3937_RS17345","DZA65_RS18480","HGI48_RS17390"
"group_00160","WP_013318902.1","WP_192989080.1","WP_024106762.1","DDA3937_RS15230","DZA65_RS16130","HGI48_RS15305"
"group_00161","WP_013318680.1","WP_192988917.1","WP_082218575.1","DDA3937_RS14195","DZA65_RS14850","HGI48_RS14175"
"group_00162","WP_013319764.1","WP_192989618.1","WP_024109265.1","DDA3937_RS19590","DZA65_RS20805","HGI48_RS19720"
"group_00163","WP_013315744.1","WP_192989792.1","WP_024104029.1","DDA3937_RS00180","DZA65_RS22150","HGI48_RS21180"
"group_00164","WP_013318375.1","WP_192988756.1","WP_024109985.1","DDA3937_RS12840","DZA65_RS13375","HGI48_RS12910"
"group_00165","WP_013316926.1","WP_192990647.1","WP_024108477.1","DDA3937_RS05980","DZA65_RS06370","HGI48_RS06025"
"group_00166","WP_013318721.1","WP_161131640.1","WP_024106608.1","DDA3937_RS14385","DZA65_RS15285","HGI48_RS14355"
"group_00167","WP_013319794.1","WP_192989635.1","WP_024107600.1","DDA3937_RS19740","DZA65_RS20925","HGI48_RS19850"
"group_00168","WP_013318831.1","WP_192989036.1","WP_024106698.1","DDA3937_RS14910","DZA65_RS15760","HGI48_RS15010"
"group_00169","WP_013315866.1","WP_192989723.1","WP_024108072.1","DDA3937_RS00770","DZA65_RS21620","HGI48_RS20605"
"group_00170","WP_013319886.1","WP_192989987.1","WP_103415775.1","DDA3937_RS20250","DZA65_RS01035","HGI48_RS00975"
"group_00171","WP_013317291.1","WP_192991436.1","WP_103415743.1","DDA3937_RS07715","DZA65_RS08075","HGI48_RS07530"
"group_00172","WP_013317059.1","WP_192990733.1","WP_024108514.1","DDA3937_RS06675","DZA65_RS07050","HGI48_RS06695"
"group_00173","WP_013316403.1","WP_192990328.1","WP_024108245.1","DDA3937_RS03480","DZA65_RS03695","HGI48_RS03580"
"group_00174","WP_013315816.1","WP_192989754.1","WP_024109542.1","DDA3937_RS00530","DZA65_RS21875","HGI48_RS20860"
"group_00175","WP_013318900.1","WP_192989079.1","WP_024106760.1","DDA3937_RS15220","DZA65_RS16120","HGI48_RS15295"
"group_00176","WP_013318886.1","WP_192989070.1","WP_024106747.1","DDA3937_RS15150","DZA65_RS16045","HGI48_RS15225"
"group_00177","WP_042318241.1","WP_192990814.1","WP_024105246.1","DDA3937_RS07400","DZA65_RS07775","HGI48_RS07265"
"group_00178","WP_013316848.1","WP_192990618.1","WP_024104972.1","DDA3937_RS05610","DZA65_RS05980","HGI48_RS05655"
