"Var1","Freq","desc","COG","group"
"DZA65_RS09915",5,"leucine-responsive transcriptional regulator Lrp","transcription","group_02605"
"DZA65_RS10025",5,"bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE","amino acid transport and metabolism","group_02328"
"DZA65_RS10030",4,"imidazole glycerol phosphate synthase subunit HisF","amino acid transport and metabolism","group_01851"
"DZA65_RS10045",5,"bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB","amino acid transport and metabolism","group_01027"
"DZA65_RS10050",6,"histidinol-phosphate transaminase","amino acid transport and metabolism","group_01174"
"DZA65_RS10055",5,"histidinol dehydrogenase","amino acid transport and metabolism","group_00793"
"DZA65_RS10060",4,"ATP phosphoribosyltransferase","amino acid transport and metabolism","group_01607"
"DZA65_RS10270",3,"ribonuclease T2","translation, ribosomal structure, and biogenesis","group_02268"
"DZA65_RS10810",6,"formyltetrahydrofolate deformylase","nucleotide transport and metabolism","group_01662"
"DZA65_RS10825",3,"two-component system response regulator RssB",NA,"group_03579"
"DZA65_RS10905",6,"TonB system transport protein TonB","cell wall/membrane/envelope biogenesis","group_02859"
"DZA65_RS10940",6,"tryptophan synthase subunit alpha","amino acid transport and metabolism","group_01824"
"DZA65_RS10945",6,"tryptophan synthase subunit beta","amino acid transport and metabolism","group_00861"
"DZA65_RS10950",4,"bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF","amino acid transport and metabolism","group_00740"
"DZA65_RS10955",3,"anthranilate phosphoribosyltransferase","amino acid transport and metabolism","group_01328"
"DZA65_RS10960",1,"C26 family cysteine hydrolase domain-containing family","coenzyme transport and metabolism","group_02389"
"DZA65_RS10965",6,"anthranilate synthase component 1","coenzyme transport and metabolism","group_00410"
"DZA65_RS11020",3,"HTH-type transcriptional regulator CysB","transcription","group_01314"
"DZA65_RS11120",3,"mannose-6-phosphate isomerase","none","group_00938"
"DZA65_RS11175",1,"DUF2384 domain-containing protein",NA,NA
"DZA65_RS11265",2,"virulence factor SrfB","function unknown","group_00052"
"DZA65_RS11435",1,"redox-regulated ATPase YchF","translation, ribosomal structure, and biogenesis","group_01051"
"DZA65_RS11565",2,"disulfide bond formation protein DsbB","postranslational modification, protein turnover, chaperones","group_02478"
"DZA65_RS11865",1,"tRNA 2-thiouridine(34) synthase MnmA","translation, ribosomal structure, and biogenesis","group_00956"
"DZA65_RS12505",2,"carboxy terminal-processing peptidase","postranslational modification, protein turnover, chaperones","group_00195"
"DZA65_RS12975",5,"peptide ABC transporter ATP-binding protein SapF","defense mechanisms","group_01843"
"DZA65_RS13030",6,"orotidine-5'-phosphate decarboxylase","nucleotide transport and metabolism","group_02019"
"DZA65_RS13085",3,"pyridoxamine 5'-phosphate oxidase","none","group_02149"
"DZA65_RS13125",1,"Grx4 family monothiol glutaredoxin","postranslational modification, protein turnover, chaperones","group_02965"
"DZA65_RS13285",1,"cysteine desulfuration protein SufE","postranslational modification, protein turnover, chaperones","group_02893"
"DZA65_RS13300",1,"Fe-S cluster assembly ATPase SufC","postranslational modification, protein turnover, chaperones","group_02022"
"DZA65_RS13305",2,"Fe-S cluster assembly protein SufB","postranslational modification, protein turnover, chaperones","group_00425"
"DZA65_RS13310",2,"Fe-S cluster assembly scaffold SufA","postranslational modification, protein turnover, chaperones","group_02888"
"DZA65_RS13390",6,"quinone-dependent dihydroorotate dehydrogenase","nucleotide transport and metabolism","group_01246"
"DZA65_RS13450",4,"aspartate/tyrosine/aromatic aminotransferase","amino acid transport and metabolism","group_00906"
"DZA65_RS13710",6,"dihydroorotase","nucleotide transport and metabolism","group_01145"
"DZA65_RS13750",3,"glucans biosynthesis glucosyltransferase MdoH","cell wall/membrane/envelope biogenesis","group_00097"
"DZA65_RS13755",3,"glucan biosynthesis protein G","cell wall/membrane/envelope biogenesis","group_00352"
"DZA65_RS13835",3,"RNA polymerase sigma factor FliA","transcription","group_02116"
"DZA65_RS13875",3,"flagellar filament capping protein FliD","cell motility","group_01680"
"DZA65_RS13880",1,"flagellar export chaperone FliS","intracellular trafficking, secretion, and vesicular transport","group_02865"
"DZA65_RS13890",3,"flagellar hook-basal body complex protein FliE","cell motility","group_03086"
"DZA65_RS13895",3,"flagellar basal body M-ring protein FliF","intracellular trafficking, secretion, and vesicular transport","group_00356"
"DZA65_RS13900",3,"flagellar motor switch protein FliG","cell motility","group_01390"
"DZA65_RS13905",3,"flagellar assembly protein FliH","intracellular trafficking, secretion, and vesicular transport","group_02484"
"DZA65_RS13910",3,"flagellum-specific ATP synthase FliI","intracellular trafficking, secretion, and vesicular transport","group_00623"
"DZA65_RS13915",3,"flagella biosynthesis chaperone FliJ","cell motility","group_02905"
"DZA65_RS13920",3,"flagellar hook-length control protein FliK","cell motility","group_01236"
"DZA65_RS13925",3,"flagellar basal body-associated protein FliL","cell motility","group_02968"
"DZA65_RS13930",3,"flagellar motor switch protein FliM","cell motility","group_01218"
"DZA65_RS13935",4,"flagellar motor switch protein FliN","intracellular trafficking, secretion, and vesicular transport","group_02850"
"DZA65_RS13940",3,"flagellar biosynthetic protein FliO","cell motility","group_02894"
"DZA65_RS13945",3,"flagellar type III secretion system pore protein FliP","cell motility","group_02179"
"DZA65_RS13950",3,"flagellar biosynthesis protein FliQ","cell motility","group_03162"
"DZA65_RS13955",3,"flagellar type III secretion system protein FliR","cell motility","group_02077"
"DZA65_RS13970",3,"flagellar assembly peptidoglycan hydrolase FlgJ","cell wall/membrane/envelope biogenesis","group_01530"
"DZA65_RS13975",3,"flagellar basal body P-ring protein FlgI","cell motility","group_01231"
"DZA65_RS13980",3,"flagellar basal body L-ring protein FlgH","cell motility","group_02102"
"DZA65_RS13985",3,"flagellar basal-body rod protein FlgG","cell motility","group_01939"
"DZA65_RS13990",3,"flagellar basal body rod protein FlgF","cell motility","group_02071"
"DZA65_RS13995",3,"flagellar hook protein FlgE","cell motility","group_01123"
"DZA65_RS14000",3,"flagellar hook assembly protein FlgD","cell motility","group_02367"
"DZA65_RS14005",3,"flagellar basal body rod protein FlgC","cell motility","group_02852"
"DZA65_RS14010",3,"flagellar basal body rod protein FlgB","cell motility","group_02830"
"DZA65_RS14015",3,"flagellar basal body P-ring formation protein FlgA","cell motility","group_02349"
"DZA65_RS14035",3,"flagellar biosynthesis protein FlhA","cell motility","group_00200"
"DZA65_RS14040",3,"flagellar type III secretion system protein FlhB","cell motility","group_00979"
"DZA65_RS14045",2,"protein phosphatase CheZ","signal transduction mechanisms","group_02296"
"DZA65_RS14085",1,"flagellar motor stator protein MotA","cell motility","group_01704"
"DZA65_RS14090",3,"flagellar transcriptional regulator FlhC","none","group_02399"
"DZA65_RS14095",4,"flagellar transcriptional regulator FlhD","none","group_02973"
"DZA65_RS14780",1,"multidrug efflux RND transporter permease subunit","defense mechanisms","group_00054"
"DZA65_RS14990",2,"transcriptional regulator LrhA","transcription","group_01499"
"DZA65_RS15335",6,"amidophosphoribosyltransferase","nucleotide transport and metabolism","group_00412"
"DZA65_RS15370",6,"tRNA pseudouridine(38-40) synthase TruA","translation, ribosomal structure, and biogenesis","group_01689"
"DZA65_RS15380",3,"4-phosphoerythronate dehydrogenase PdxB","general function prediction only","group_01029"
"DZA65_RS15480",6,"phosphohistidine phosphatase SixA","signal transduction mechanisms","group_02692"
"DZA65_RS15515",1,"phospholipid-binding lipoprotein MlaA","cell wall/membrane/envelope biogenesis","group_01899"
"DZA65_RS15540",5,"Fe2+-enterobactin ABC transporter substrate-binding protein","inorganic ion transport and metabolism","group_01493"
"DZA65_RS15545",6,"enterobactin transporter EntS","carbohydrate transport and metabolism","group_00908"
"DZA65_RS15550",6,"Fe(3+)-siderophore ABC transporter permease","inorganic ion transport and metabolism","group_01292"
"DZA65_RS15555",6,"iron-enterobactin ABC transporter permease","inorganic ion transport and metabolism","group_01442"
"DZA65_RS15580",5,"enterochelin esterase","inorganic ion transport and metabolism","group_00752"
"DZA65_RS15585",6,"TonB-dependent siderophore receptor","inorganic ion transport and metabolism","group_00230"
"DZA65_RS15990",2,"5-(carboxyamino)imidazole ribonucleotide mutase","nucleotide transport and metabolism","group_02659"
"DZA65_RS15995",6,"5-(carboxyamino)imidazole ribonucleotide synthase","nucleotide transport and metabolism","group_01064"
"DZA65_RS16160",1,"MdtA/MuxA family multidrug efflux RND transporter periplasmic adaptor subunit","defense mechanisms","group_01190"
"DZA65_RS16165",1,"MdtB/MuxB family multidrug efflux RND transporter permease subunit","defense mechanisms","group_00058"
"DZA65_RS16170",1,"multidrug efflux RND transporter permease subunit MdtC","defense mechanisms","group_00057"
"DZA65_RS16610",2,"IMP dehydrogenase","nucleotide transport and metabolism","group_00559"
"DZA65_RS16810",2,"nitrogen regulatory protein P-II","signal transduction mechanisms","group_02992"
"DZA65_RS16830",6,"phosphoribosylformylglycinamidine synthase","nucleotide transport and metabolism","group_00028"
"DZA65_RS16885",1,"pyridoxine 5'-phosphate synthase","coenzyme transport and metabolism","group_02113"
"DZA65_RS16930",4,"RNA polymerase sigma factor RpoE","transcription","group_02448"
"DZA65_RS16935",1,"L-aspartate oxidase","coenzyme transport and metabolism","group_00334"
"DZA65_RS17155",6,"3-methyl-2-oxobutanoate hydroxymethyltransferase","coenzyme transport and metabolism","group_01856"
"DZA65_RS17160",6,"pantoate--beta-alanine ligase","coenzyme transport and metabolism","group_01771"
"DZA65_RS17165",6,"aspartate 1-decarboxylase","coenzyme transport and metabolism","group_02900"
"DZA65_RS17195",1,"hypothetical protein",NA,"group_03703"
"DZA65_RS17345",6,"bifunctional chorismate mutase/prephenate dehydratase","amino acid transport and metabolism","group_00967"
"DZA65_RS17390",6,"inner membrane protein YpjD","general function prediction only","group_01925"
"DZA65_RS17690",5,"glutamate-5-semialdehyde dehydrogenase","amino acid transport and metabolism","group_01097"
"DZA65_RS17695",1,"glutamate 5-kinase","amino acid transport and metabolism","group_01087"
"DZA65_RS18030",2,"protein-L-isoaspartate(D-aspartate) O-methyltransferase","postranslational modification, protein turnover, chaperones","group_02323"
"DZA65_RS18060",3,"adenylyl-sulfate kinase","inorganic ion transport and metabolism","group_02414"
"DZA65_RS18065",1,"sulfate adenylyltransferase subunit CysN","inorganic ion transport and metabolism","group_00577"
"DZA65_RS18070",2,"sulfate adenylyltransferase subunit CysD","coenzyme transport and metabolism","group_01413"
"DZA65_RS18085",2,"assimilatory sulfite reductase (NADPH) hemoprotein subunit","inorganic ion transport and metabolism","group_00277"
"DZA65_RS18320",6,"3'(2'),5'-bisphosphate nucleotidase CysQ","inorganic ion transport and metabolism","group_02207"
"DZA65_RS18550",6,"diaminopimelate decarboxylase","amino acid transport and metabolism","group_00775"
"DZA65_RS18650",1,"alanine racemase","cell wall/membrane/envelope biogenesis","group_01156"
"DZA65_RS19175",2,"catabolite repressor/activator","transcription","group_01240"
"DZA65_RS19200",6,"2-isopropylmalate synthase","amino acid transport and metabolism","group_00407"
"DZA65_RS19205",6,"3-isopropylmalate dehydrogenase","energy production and conversions","group_01047"
"DZA65_RS19210",6,"3-isopropylmalate dehydratase large subunit","amino acid transport and metabolism","group_00578"
"DZA65_RS19215",5,"3-isopropylmalate dehydratase small subunit","amino acid transport and metabolism","group_02316"
"DZA65_RS19270",3,"acetolactate synthase large subunit","coenzyme transport and metabolism","group_00355"
"DZA65_RS19345",3,"Co2+/Mg2+ efflux protein ApaG","inorganic ion transport and metabolism","group_02868"
"DZA65_RS19350",5,"bis(5'-nucleosyl)-tetraphosphatase (symmetrical)","signal transduction mechanisms","group_01648"
"DZA65_RS19380",6,"carbamoyl-phosphate synthase large subunit","nucleotide transport and metabolism","group_00045"
"DZA65_RS19385",6,"glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","nucleotide transport and metabolism","group_00923"
"DZA65_RS19475",3,"threonine synthase","amino acid transport and metabolism","group_00763"
"DZA65_RS19480",5,"homoserine kinase","amino acid transport and metabolism","group_01367"
"DZA65_RS19485",6,"bifunctional aspartate kinase/homoserine dehydrogenase I","amino acid transport and metabolism","group_00110"
"DZA65_RS19515",1,"non-canonical purine NTP phosphatase","nucleotide transport and metabolism","group_02514"
"DZA65_RS19540",6,"phosphoglycerate dehydrogenase","general function prediction only","group_00830"
"DZA65_RS19620",3,"deoxyribonuclease I","replication, recombination, and repair","group_02138"
"DZA65_RS19645",6,"class 1 fructose-bisphosphatase","carbohydrate transport and metabolism","group_01206"
"DZA65_RS19655",1,"adenylosuccinate synthase","nucleotide transport and metabolism","group_00688"
"DZA65_RS19695",3,"N-acetylmuramoyl-L-alanine amidase AmiB","cell wall/membrane/envelope biogenesis","group_00418"
"DZA65_RS19720",3,"mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase","cell wall/membrane/envelope biogenesis","group_00544"
"DZA65_RS19725",3,"phosphomannomutase/phosphoglucomutase","carbohydrate transport and metabolism","group_00629"
"DZA65_RS19730",3,"GDP-mannose 4,6-dehydratase","cell wall/membrane/envelope biogenesis","group_00977"
"DZA65_RS19735",3,"ABC transporter permease","cell wall/membrane/envelope biogenesis","group_01971"
"DZA65_RS19740",3,"ABC transporter ATP-binding protein","cell wall/membrane/envelope biogenesis","group_02104"
"DZA65_RS19745",3,"GDP-L-fucose synthase","cell wall/membrane/envelope biogenesis","group_01353"
"DZA65_RS19750",3,"hypothetical protein","cell wall/membrane/envelope biogenesis","group_00884"
"DZA65_RS19755",3,"glycosyltransferase","cell wall/membrane/envelope biogenesis","group_01025"
"DZA65_RS20220",3,"glucose-6-phosphate isomerase","carbohydrate transport and metabolism","group_00314"
"DZA65_RS20275",6,"homoserine O-succinyltransferase","amino acid transport and metabolism","group_01329"
"DZA65_RS20355",2,"Trk system potassium transporter TrkA","inorganic ion transport and metabolism","group_00637"
"DZA65_RS20655",3,"aspartate aminotransferase family protein","amino acid transport and metabolism","group_00808"
"DZA65_RS20755",1,"SPOR domain-containing protein","cell cycle control, cell division, chromosome partitioning","group_02187"
"DZA65_RS20795",1,"peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA","cell wall/membrane/envelope biogenesis","group_00094"
"DZA65_RS20840",2,"two-component system response regulator OmpR","transcription","group_02033"
"DZA65_RS20915",3,"glycogen synthase GlgA","carbohydrate transport and metabolism","group_00481"
"DZA65_RS21275",3,"guanosine-5'-triphosphate,3'-diphosphate diphosphatase","signal transduction mechanisms","group_00469"
"DZA65_RS21310",6,"ketol-acid reductoisomerase","coenzyme transport and metabolism","group_00475"
"DZA65_RS21330",4,"threonine ammonia-lyase, biosynthetic","amino acid transport and metabolism","group_00428"
"DZA65_RS21335",6,"dihydroxy-acid dehydratase","carbohydrate transport and metabolism","group_00242"
"DZA65_RS21420",2,"glutamate racemase","cell wall/membrane/envelope biogenesis","group_01703"
"DZA65_RS21440",1,"HTH-type transcriptional repressor FabR","transcription","group_02326"
"DZA65_RS21470",6,"cystathionine gamma-synthase","amino acid transport and metabolism","group_00959"
"DZA65_RS21495",3,"cell division protein FtsN","cell cycle control, cell division, chromosome partitioning","group_01945"
"DZA65_RS21525",6,"aquaporin family protein","carbohydrate transport and metabolism","group_01754"
"DZA65_RS21530",6,"glycerol kinase GlpK","energy production and conversions","group_00390"
"DZA65_RS21745",4,"aspartate 1-decarboxylase autocleavage activator PanM","none","group_02795"
"DZA65_RS21755",3,"cell division protein FtsX","cell cycle control, cell division, chromosome partitioning","group_01645"
"DZA65_RS21760",2,"cell division ATP-binding protein FtsE","cell cycle control, cell division, chromosome partitioning","group_02203"
"DZA65_RS22210",6,"nitrogen regulation protein NR(I)","signal transduction mechanisms","group_00527"
"DZA65_RS22240",4,"thiol:disulfide interchange protein DsbA","none","group_02319"
"DZA65_RS22290",1,"substrate-binding domain-containing protein","transcription","group_01280"
"DZA65_RS22625",3,"4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase","cell wall/membrane/envelope biogenesis","group_01478"
"DZA65_RS22635",2,"4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE","none","group_03065"
"DZA65_RS22640",2,"4-amino-4-deoxy-L-arabinose-phospho-UDP flippase","none","group_02926"
