"","X..feature","class","assembly","assembly_unit","seq_type","chromosome","genomic_accession","start","end","strand","product_accession","non.redundant_refseq","related_accession","name","symbol","GeneID","locus_tag","feature_interval_length","product_length","attributes","COG"
"52","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",28390,29802,"-","WP_013315733.1","WP_013315733.1",NA,"nitrogen regulation protein NR(I)","glnG",9731412,"DDA3937_RS00125",1413,470,"","none"
"53","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",29811,30860,"-","","",NA,"","glnL",9731413,"DDA3937_RS00130",1050,NA,"Dda3937_01117","signal transduction mechanisms"
"54","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",29811,30860,"-","WP_013315734.1","WP_013315734.1",NA,"nitrogen regulation protein NR(II)","glnL",9731413,"DDA3937_RS00130",1050,349,"","none"
"55","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",31065,32474,"-","","",NA,"","glnA",9731414,"DDA3937_RS00135",1410,NA,"Dda3937_01118","amino acid transport and metabolism"
"56","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",31065,32474,"-","WP_013315735.1","WP_013315735.1",NA,"glutamate--ammonia ligase","glnA",9731414,"DDA3937_RS00135",1410,469,"","none"
"57","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",32852,34675,"+","","",NA,"","typA",9731415,"DDA3937_RS00140",1824,NA,"Dda3937_01119","signal transduction mechanisms"
"58","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",32852,34675,"+","WP_013315736.1","WP_013315736.1",NA,"ribosome-dependent GTPase TypA","typA",9731415,"DDA3937_RS00140",1824,607,"","none"
"59","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",34898,35509,"+","","",NA,"","yihX",9731416,"DDA3937_RS00145",612,NA,"Dda3937_01120","coenzyme transport and metabolism"
"60","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",34898,35509,"+","WP_013315737.1","WP_013315737.1",NA,"glucose-1-phosphatase","yihX",9731416,"DDA3937_RS00145",612,203,"","none"
"61","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",35517,35954,"+","","",NA,"","dtd",9731417,"DDA3937_RS00150",438,NA,"Dda3937_01121","translation, ribosomal structure, and biogenesis"
"62","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",35517,35954,"+","WP_013315738.1","WP_013315738.1",NA,"D-tyrosyl-tRNA(Tyr) deacylase","dtd",9731417,"DDA3937_RS00150",438,145,"","none"
"63","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",35988,36929,"+","","",NA,"","fabY",9731418,"DDA3937_RS00155",942,NA,"Dda3937_01122","general function prediction only"
"64","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",35988,36929,"+","WP_013315739.1","WP_013315739.1",NA,"fatty acid biosynthesis protein FabY","fabY",9731418,"DDA3937_RS00155",942,313,"","none"
"65","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",36993,38735,"-","","",NA,"","",9731419,"DDA3937_RS00160",1743,NA,"Dda3937_01123","none"
"66","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",36993,38735,"-","WP_013315740.1","WP_013315740.1",NA,"AsmA family protein","",9731419,"DDA3937_RS00160",1743,580,"","none"
"67","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",38891,40279,"-","","",NA,"","",9731420,"DDA3937_RS00165",1389,NA,"Dda3937_01124","nucleotide transport and metabolism"
"68","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",38891,40279,"-","WP_013315741.1","WP_013315741.1",NA,"uracil-xanthine permease","",9731420,"DDA3937_RS00165",1389,462,"","none"
"69","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",40461,42542,"-","","",NA,"","recG",9731421,"DDA3937_RS00170",2082,NA,"Dda3937_01125","replication, recombination, and repair"
"70","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",40461,42542,"-","WP_013315742.1","WP_013315742.1",NA,"ATP-dependent DNA helicase RecG","recG",9731421,"DDA3937_RS00170",2082,693,"","none"
"71","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",42542,43234,"-","","",NA,"","trmH",9731422,"DDA3937_RS00175",693,NA,"Dda3937_01126","none"
"72","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",42542,43234,"-","WP_013315743.1","WP_013315743.1",NA,"tRNA (guanosine(18)-2'-O)-methyltransferase TrmH","trmH",9731422,"DDA3937_RS00175",693,230,"","none"
"73","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",43241,45343,"-","","",NA,"","spoT",9731423,"DDA3937_RS00180",2103,NA,"Dda3937_01127","transcription"
"74","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",43241,45343,"-","WP_013315744.1","WP_013315744.1",NA,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase","spoT",9731423,"DDA3937_RS00180",2103,700,"","none"
"75","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",45368,45643,"-","","",NA,"","rpoZ",9731424,"DDA3937_RS00185",276,NA,"Dda3937_01128","transcription"
"76","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",45368,45643,"-","WP_013315745.1","WP_013315745.1",NA,"DNA-directed RNA polymerase subunit omega","rpoZ",9731424,"DDA3937_RS00185",276,91,"","none"
"77","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",45698,46321,"-","","",NA,"","gmk",9731425,"DDA3937_RS00190",624,NA,"Dda3937_01129","nucleotide transport and metabolism"
"78","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",45698,46321,"-","WP_013315746.1","WP_013315746.1",NA,"guanylate kinase","gmk",9731425,"DDA3937_RS00190",624,207,"","none"
"79","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",46628,48310,"+","","",NA,"","ligB",9731426,"DDA3937_RS00195",1683,NA,"Dda3937_01130","replication, recombination, and repair"
"80","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",46628,48310,"+","WP_033111485.1","WP_033111485.1",NA,"NAD-dependent DNA ligase LigB","ligB",9731426,"DDA3937_RS00195",1683,560,"","none"
"81","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",48677,50359,"+","","",NA,"","eptB",9731427,"DDA3937_RS00200",1683,NA,"Dda3937_01131","cell wall/membrane/envelope biogenesis"
"82","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",48677,50359,"+","WP_033111486.1","WP_033111486.1",NA,"kdo(2)-lipid A phosphoethanolamine 7''-transferase","eptB",9731427,"DDA3937_RS00200",1683,560,"","none"
"83","gene","tRNA","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",50513,50589,"+","","",NA,"","",9731428,"DDA3937_RS00205",77,NA,"Dda3937_04245","none"
"84","tRNA","","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",50513,50589,"+","","",NA,"tRNA-Pro","",9731428,"DDA3937_RS00205",77,NA,"CGG","none"
"85","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",51020,51646,"-","","",NA,"","",9731429,"DDA3937_RS00210",627,NA,"Dda3937_01132","none"
"86","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",51020,51646,"-","WP_033111487.1","WP_033111487.1",NA,"tetratricopeptide repeat protein","",9731429,"DDA3937_RS00210",627,208,"","none"
"87","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",51748,52542,"-","","",NA,"","",9731430,"DDA3937_RS00215",795,NA,"Dda3937_01133","general function prediction only"
"88","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",51748,52542,"-","WP_013315750.1","WP_013315750.1",NA,"SDR family oxidoreductase","",9731430,"DDA3937_RS00215",795,264,"","none"
"89","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",52547,53185,"-","","",NA,"","",9731431,"DDA3937_RS00220",639,NA,"Dda3937_01134","none"
"90","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",52547,53185,"-","WP_013315751.1","WP_013315751.1",NA,"long-chain-fatty-acid--CoA ligase","",9731431,"DDA3937_RS00220",639,212,"","none"
"91","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",53451,54629,"+","","",NA,"","",9731432,"DDA3937_RS00225",1179,NA,"Dda3937_01135","carbohydrate transport and metabolism"
"92","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",53451,54629,"+","WP_013315752.1","WP_013315752.1",NA,"MFS transporter","",9731432,"DDA3937_RS00225",1179,392,"","none"
"93","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",54672,55562,"+","","",NA,"","",9731433,"DDA3937_RS00230",891,NA,"Dda3937_01136","transcription"
"94","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",54672,55562,"+","WP_013315753.1","WP_013315753.1",NA,"LysR family transcriptional regulator","",9731433,"DDA3937_RS00230",891,296,"","none"
"95","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",55731,56900,"+","","",NA,"","",9731434,"DDA3937_RS00235",1170,NA,"Dda3937_01137","carbohydrate transport and metabolism"
"96","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",55731,56900,"+","WP_033112175.1","WP_033112175.1",NA,"MFS transporter","",9731434,"DDA3937_RS00235",1170,389,"","none"
"97","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",57019,58296,"-","","",NA,"","",9731435,"DDA3937_RS00240",1278,NA,"Dda3937_01138","none"
"98","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",57019,58296,"-","WP_013315755.1","WP_013315755.1",NA,"histidine-type phosphatase","",9731435,"DDA3937_RS00240",1278,425,"","none"
"99","gene","pseudogene","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",58665,59504,"+","","",NA,"","",9731436,"DDA3937_RS00245",840,NA,"Dda3937_01139","carbohydrate transport and metabolism"
"100","CDS","without_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",58665,59504,"+","","",NA,"sugar ABC transporter permease","",9731436,"DDA3937_RS00245",840,NA,"partial;pseudo","none"
"101","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",59516,60403,"+","","",NA,"","",9731437,"DDA3937_RS00250",888,NA,"Dda3937_01140","carbohydrate transport and metabolism"
"102","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",59516,60403,"+","WP_148226850.1","WP_148226850.1",NA,"carbohydrate ABC transporter permease","",9731437,"DDA3937_RS00250",888,295,"","none"
"103","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",60403,61683,"+","","",NA,"","",9731438,"DDA3937_RS00255",1281,NA,"Dda3937_01141","carbohydrate transport and metabolism"
"104","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",60403,61683,"+","WP_013315758.1","WP_013315758.1",NA,"extracellular solute-binding protein","",9731438,"DDA3937_RS00255",1281,426,"","none"
"105","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",61676,63106,"+","","",NA,"","",9731439,"DDA3937_RS00260",1431,NA,"Dda3937_01142","none"
"106","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",61676,63106,"+","WP_013315759.1","WP_013315759.1",NA,"CehA/McbA family metallohydrolase","",9731439,"DDA3937_RS00260",1431,476,"","none"
"107","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",63252,64259,"+","","",NA,"","",9731440,"DDA3937_RS00265",1008,NA,"Dda3937_01143","inorganic ion transport and metabolism"
"108","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",63252,64259,"+","WP_042318710.1","WP_042318710.1",NA,"arsenic resistance protein","",9731440,"DDA3937_RS00265",1008,335,"","none"
"109","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",64272,65327,"+","","",NA,"","",9731441,"DDA3937_RS00270",1056,NA,"Dda3937_01144","none"
"110","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",64272,65327,"+","WP_013315761.1","WP_013315761.1",NA,"hypothetical protein","",9731441,"DDA3937_RS00270",1056,351,"","none"
"111","gene","pseudogene","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",65750,66100,"-","","",NA,"","",23677376,"DDA3937_RS00275",351,NA,"Dda3937_01145","translation, ribosomal structure, and biogenesis"
"112","CDS","without_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",65750,66100,"-","","",NA,"GNAT family N-acetyltransferase","",23677376,"DDA3937_RS00275",351,NA,"partial;pseudo","none"
"113","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",66100,67473,"-","","",NA,"","",9731443,"DDA3937_RS00280",1374,NA,"Dda3937_01146","amino acid transport and metabolism"
"114","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",66100,67473,"-","WP_033111488.1","WP_033111488.1",NA,"D-serine ammonia-lyase","",9731443,"DDA3937_RS00280",1374,457,"","none"
"115","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",67850,68131,"+","","",NA,"","",23677377,"DDA3937_RS00285",282,NA,"","none"
"116","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",67850,68131,"+","WP_033111489.1","WP_033111489.1",NA,"hypothetical protein","",23677377,"DDA3937_RS00285",282,93,"","none"
"117","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",68310,68576,"+","","",NA,"","",9731445,"DDA3937_RS00290",267,NA,"Dda3937_01148","none"
"118","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",68310,68576,"+","WP_013315765.1","WP_013315765.1",NA,"DUF1471 domain-containing protein","",9731445,"DDA3937_RS00290",267,88,"","none"
"119","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",69021,70124,"-","","",NA,"","",9731447,"DDA3937_RS00295",1104,NA,"Dda3937_01149","transcription"
"120","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",69021,70124,"-","WP_033111490.1","WP_033111490.1",NA,"ROK family transcriptional regulator","",9731447,"DDA3937_RS00295",1104,367,"","none"
"121","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",70225,71595,"+","","",NA,"","",9731448,"DDA3937_RS00300",1371,NA,"Dda3937_01150","carbohydrate transport and metabolism"
"122","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",70225,71595,"+","WP_013315768.1","WP_013315768.1",NA,"extracellular solute-binding protein","",9731448,"DDA3937_RS00300",1371,456,"","none"
