"X","Dickeya_dadantii_3937","Dickeya_dianthicola_67_19","Dickeya_dianthicola_ME23","Pectobacterium_carotovorum_WPP14","Dda3937_locus","DdiaME23_locus","Ddia6719_locus","PcWPP14_locus"
"group_00002","WP_013316545.1","WP_192991002.1","WP_012768188.1","WP_012822145.1","DDA3937_RS04110","DZA65_RS07690","HGI48_RS08585","HER17_RS00310"
"group_00002","WP_013316545.1","WP_192991002.1","WP_012768188.1","WP_039475383.1","DDA3937_RS04110","DZA65_RS07690","HGI48_RS08585","HER17_RS04920"
"group_00002","WP_013316545.1","WP_038904890.1","WP_012768188.1","WP_012822145.1","DDA3937_RS04110","DZA65_RS07690","HGI48_RS07185","HER17_RS00310"
"group_00002","WP_013316545.1","WP_038904890.1","WP_012768188.1","WP_039475383.1","DDA3937_RS04110","DZA65_RS07690","HGI48_RS07185","HER17_RS04920"
"group_00002","WP_013317120.1","WP_013316545.1","WP_024108343.1","WP_012822145.1","DDA3937_RS06945","DZA65_RS08825","HGI48_RS13860","HER17_RS00310"
"group_00002","WP_013317120.1","WP_013316545.1","WP_024108343.1","WP_039475383.1","DDA3937_RS06945","DZA65_RS08825","HGI48_RS13860","HER17_RS04920"
"group_00002","WP_013317120.1","WP_192991002.1","WP_024108343.1","WP_012822145.1","DDA3937_RS06945","DZA65_RS08825","HGI48_RS08585","HER17_RS00310"
"group_00002","WP_013317120.1","WP_192991002.1","WP_024108343.1","WP_039475383.1","DDA3937_RS06945","DZA65_RS08825","HGI48_RS08585","HER17_RS04920"
"group_00002","WP_013317120.1","WP_038904890.1","WP_024108343.1","WP_012822145.1","DDA3937_RS06945","DZA65_RS08825","HGI48_RS07185","HER17_RS00310"
"group_00002","WP_013317120.1","WP_038904890.1","WP_024108343.1","WP_039475383.1","DDA3937_RS06945","DZA65_RS08825","HGI48_RS07185","HER17_RS04920"
"group_00002","WP_013317120.1","WP_013316545.1","WP_012768188.1","WP_012822145.1","DDA3937_RS06945","DZA65_RS07690","HGI48_RS13860","HER17_RS00310"
"group_00002","WP_013317120.1","WP_013316545.1","WP_012768188.1","WP_039475383.1","DDA3937_RS06945","DZA65_RS07690","HGI48_RS13860","HER17_RS04920"
"group_00002","WP_013317120.1","WP_192991002.1","WP_012768188.1","WP_012822145.1","DDA3937_RS06945","DZA65_RS07690","HGI48_RS08585","HER17_RS00310"
"group_00002","WP_013317120.1","WP_192991002.1","WP_012768188.1","WP_039475383.1","DDA3937_RS06945","DZA65_RS07690","HGI48_RS08585","HER17_RS04920"
"group_00002","WP_013317120.1","WP_038904890.1","WP_012768188.1","WP_012822145.1","DDA3937_RS06945","DZA65_RS07690","HGI48_RS07185","HER17_RS00310"
"group_00002","WP_013317120.1","WP_038904890.1","WP_012768188.1","WP_039475383.1","DDA3937_RS06945","DZA65_RS07690","HGI48_RS07185","HER17_RS04920"
"group_00002","WP_013318572.1","WP_013316545.1","WP_024108343.1","WP_012822145.1","DDA3937_RS13770","DZA65_RS08825","HGI48_RS13860","HER17_RS00310"
"group_00002","WP_013318572.1","WP_013316545.1","WP_024108343.1","WP_039475383.1","DDA3937_RS13770","DZA65_RS08825","HGI48_RS13860","HER17_RS04920"
"group_00002","WP_013318572.1","WP_192991002.1","WP_024108343.1","WP_012822145.1","DDA3937_RS13770","DZA65_RS08825","HGI48_RS08585","HER17_RS00310"
"group_00002","WP_013318572.1","WP_192991002.1","WP_024108343.1","WP_039475383.1","DDA3937_RS13770","DZA65_RS08825","HGI48_RS08585","HER17_RS04920"
"group_00002","WP_013318572.1","WP_038904890.1","WP_024108343.1","WP_012822145.1","DDA3937_RS13770","DZA65_RS08825","HGI48_RS07185","HER17_RS00310"
"group_00002","WP_013318572.1","WP_038904890.1","WP_024108343.1","WP_039475383.1","DDA3937_RS13770","DZA65_RS08825","HGI48_RS07185","HER17_RS04920"
"group_00002","WP_013318572.1","WP_013316545.1","WP_012768188.1","WP_012822145.1","DDA3937_RS13770","DZA65_RS07690","HGI48_RS13860","HER17_RS00310"
"group_00002","WP_013318572.1","WP_013316545.1","WP_012768188.1","WP_039475383.1","DDA3937_RS13770","DZA65_RS07690","HGI48_RS13860","HER17_RS04920"
"group_00002","WP_013318572.1","WP_192991002.1","WP_012768188.1","WP_012822145.1","DDA3937_RS13770","DZA65_RS07690","HGI48_RS08585","HER17_RS00310"
"group_00002","WP_013318572.1","WP_192991002.1","WP_012768188.1","WP_039475383.1","DDA3937_RS13770","DZA65_RS07690","HGI48_RS08585","HER17_RS04920"
"group_00002","WP_013318572.1","WP_038904890.1","WP_012768188.1","WP_012822145.1","DDA3937_RS13770","DZA65_RS07690","HGI48_RS07185","HER17_RS00310"
"group_00002","WP_013318572.1","WP_038904890.1","WP_012768188.1","WP_039475383.1","DDA3937_RS13770","DZA65_RS07690","HGI48_RS07185","HER17_RS04920"
"group_00003","WP_013318214.1","WP_192988662.1","WP_024108842.1","WP_180890122.1","DDA3937_RS12070","DZA65_RS12610","HGI48_RS12165","HER17_RS05180"
"group_00003","WP_013318214.1","WP_192988662.1","WP_024108842.1","WP_180890044.1","DDA3937_RS12070","DZA65_RS12610","HGI48_RS12165","HER17_RS18470"
"group_00003","WP_013318214.1","WP_192990268.1","WP_024108842.1","WP_180890122.1","DDA3937_RS12070","DZA65_RS12610","HGI48_RS03050","HER17_RS05180"
"group_00003","WP_013318214.1","WP_192990268.1","WP_024108842.1","WP_180890044.1","DDA3937_RS12070","DZA65_RS12610","HGI48_RS03050","HER17_RS18470"
"group_00003","WP_013318214.1","WP_192989719.1","WP_024108842.1","WP_180890122.1","DDA3937_RS12070","DZA65_RS12610","HGI48_RS20550","HER17_RS05180"
"group_00003","WP_013318214.1","WP_192989719.1","WP_024108842.1","WP_180890044.1","DDA3937_RS12070","DZA65_RS12610","HGI48_RS20550","HER17_RS18470"
"group_00003","WP_033111513.1","WP_192988662.1","WP_024108842.1","WP_180890122.1","DDA3937_RS00810","DZA65_RS12610","HGI48_RS12165","HER17_RS05180"
"group_00003","WP_033111513.1","WP_192988662.1","WP_024108842.1","WP_180890044.1","DDA3937_RS00810","DZA65_RS12610","HGI48_RS12165","HER17_RS18470"
"group_00003","WP_033111513.1","WP_192990268.1","WP_024108842.1","WP_180890122.1","DDA3937_RS00810","DZA65_RS12610","HGI48_RS03050","HER17_RS05180"
"group_00003","WP_033111513.1","WP_192990268.1","WP_024108842.1","WP_180890044.1","DDA3937_RS00810","DZA65_RS12610","HGI48_RS03050","HER17_RS18470"
"group_00003","WP_033111513.1","WP_192989719.1","WP_024108842.1","WP_180890122.1","DDA3937_RS00810","DZA65_RS12610","HGI48_RS20550","HER17_RS05180"
"group_00003","WP_033111513.1","WP_192989719.1","WP_024108842.1","WP_180890044.1","DDA3937_RS00810","DZA65_RS12610","HGI48_RS20550","HER17_RS18470"
"group_00003","WP_013315872.1","WP_192988662.1","WP_024108842.1","WP_180890122.1","DDA3937_RS00800","DZA65_RS12610","HGI48_RS12165","HER17_RS05180"
"group_00003","WP_013315872.1","WP_192988662.1","WP_024108842.1","WP_180890044.1","DDA3937_RS00800","DZA65_RS12610","HGI48_RS12165","HER17_RS18470"
"group_00003","WP_013315872.1","WP_192990268.1","WP_024108842.1","WP_180890122.1","DDA3937_RS00800","DZA65_RS12610","HGI48_RS03050","HER17_RS05180"
"group_00003","WP_013315872.1","WP_192990268.1","WP_024108842.1","WP_180890044.1","DDA3937_RS00800","DZA65_RS12610","HGI48_RS03050","HER17_RS18470"
"group_00003","WP_013315872.1","WP_192989719.1","WP_024108842.1","WP_180890122.1","DDA3937_RS00800","DZA65_RS12610","HGI48_RS20550","HER17_RS05180"
"group_00003","WP_013315872.1","WP_192989719.1","WP_024108842.1","WP_180890044.1","DDA3937_RS00800","DZA65_RS12610","HGI48_RS20550","HER17_RS18470"
"group_00004","WP_013319864.1","WP_192989683.1","WP_103415950.1","WP_010300150.1","DDA3937_RS20100","DZA65_RS21285","HGI48_RS20240","HER17_RS06675"
"group_00004","WP_013319864.1","WP_192989682.1","WP_103415950.1","WP_010300150.1","DDA3937_RS20100","DZA65_RS21285","HGI48_RS20235","HER17_RS06675"
"group_00004","WP_013319864.1","WP_192989683.1","WP_103415949.1","WP_010300150.1","DDA3937_RS20100","DZA65_RS21280","HGI48_RS20240","HER17_RS06675"
"group_00004","WP_013319864.1","WP_192989682.1","WP_103415949.1","WP_010300150.1","DDA3937_RS20100","DZA65_RS21280","HGI48_RS20235","HER17_RS06675"
"group_00004","WP_013319862.1","WP_192989683.1","WP_103415950.1","WP_010300150.1","DDA3937_RS20090","DZA65_RS21285","HGI48_RS20240","HER17_RS06675"
"group_00004","WP_013319862.1","WP_192989682.1","WP_103415950.1","WP_010300150.1","DDA3937_RS20090","DZA65_RS21285","HGI48_RS20235","HER17_RS06675"
"group_00004","WP_013319862.1","WP_192989683.1","WP_103415949.1","WP_010300150.1","DDA3937_RS20090","DZA65_RS21280","HGI48_RS20240","HER17_RS06675"
"group_00004","WP_013319862.1","WP_192989682.1","WP_103415949.1","WP_010300150.1","DDA3937_RS20090","DZA65_RS21280","HGI48_RS20235","HER17_RS06675"
"group_00004","WP_013319863.1","WP_192989683.1","WP_103415950.1","WP_010300150.1","DDA3937_RS20095","DZA65_RS21285","HGI48_RS20240","HER17_RS06675"
"group_00004","WP_013319863.1","WP_192989682.1","WP_103415950.1","WP_010300150.1","DDA3937_RS20095","DZA65_RS21285","HGI48_RS20235","HER17_RS06675"
"group_00004","WP_013319863.1","WP_192989683.1","WP_103415949.1","WP_010300150.1","DDA3937_RS20095","DZA65_RS21280","HGI48_RS20240","HER17_RS06675"
"group_00004","WP_013319863.1","WP_192989682.1","WP_103415949.1","WP_010300150.1","DDA3937_RS20095","DZA65_RS21280","HGI48_RS20235","HER17_RS06675"
"group_00005","WP_033112115.1","WP_192989607.1","WP_103468983.1","WP_010297089.1","DDA3937_RS19515","DZA65_RS20730","HGI48_RS19645","HER17_RS01850"
"group_00005","WP_033112115.1","WP_192990329.1","WP_103468983.1","WP_010297089.1","DDA3937_RS19515","DZA65_RS20730","HGI48_RS03595","HER17_RS01850"
"group_00005","WP_033112115.1","WP_192989607.1","WP_024108247.1","WP_010297089.1","DDA3937_RS19515","DZA65_RS03715","HGI48_RS19645","HER17_RS01850"
"group_00005","WP_033112115.1","WP_192990329.1","WP_024108247.1","WP_010297089.1","DDA3937_RS19515","DZA65_RS03715","HGI48_RS03595","HER17_RS01850"
"group_00005","WP_013316408.1","WP_192989607.1","WP_103468983.1","WP_010297089.1","DDA3937_RS03495","DZA65_RS20730","HGI48_RS19645","HER17_RS01850"
"group_00005","WP_013316408.1","WP_192990329.1","WP_103468983.1","WP_010297089.1","DDA3937_RS03495","DZA65_RS20730","HGI48_RS03595","HER17_RS01850"
"group_00005","WP_013316408.1","WP_192989607.1","WP_024108247.1","WP_010297089.1","DDA3937_RS03495","DZA65_RS03715","HGI48_RS19645","HER17_RS01850"
"group_00005","WP_013316408.1","WP_192990329.1","WP_024108247.1","WP_010297089.1","DDA3937_RS03495","DZA65_RS03715","HGI48_RS03595","HER17_RS01850"
"group_00006","WP_013318229.1","WP_192988671.1","WP_024106204.1","WP_180890039.1","DDA3937_RS12135","DZA65_RS12680","HGI48_RS12230","HER17_RS18435"
"group_00006","WP_013318229.1","WP_192988671.1","WP_024106204.1","WP_180890119.1","DDA3937_RS12135","DZA65_RS12680","HGI48_RS12230","HER17_RS05140"
"group_00006","WP_013318229.1","WP_192988671.1","WP_024106204.1","WP_180890155.1","DDA3937_RS12135","DZA65_RS12680","HGI48_RS12230","HER17_RS07745"
"group_00006","WP_013318229.1","WP_192990273.1","WP_024106204.1","WP_180890039.1","DDA3937_RS12135","DZA65_RS12680","HGI48_RS03090","HER17_RS18435"
"group_00006","WP_013318229.1","WP_192990273.1","WP_024106204.1","WP_180890119.1","DDA3937_RS12135","DZA65_RS12680","HGI48_RS03090","HER17_RS05140"
"group_00006","WP_013318229.1","WP_192990273.1","WP_024106204.1","WP_180890155.1","DDA3937_RS12135","DZA65_RS12680","HGI48_RS03090","HER17_RS07745"
"group_00007","WP_107768474.1","WP_192991502.1","WP_103415912.1","WP_117624693.1","DDA3937_RS12900","DZA65_RS13435","HGI48_RS12970","HER17_RS12025"
"group_00007","WP_107768474.1","WP_192991504.1","WP_103415912.1","WP_117624693.1","DDA3937_RS12900","DZA65_RS13435","HGI48_RS12975","HER17_RS12025"
"group_00007","WP_107768474.1","WP_192991502.1","WP_116587132.1","WP_117624693.1","DDA3937_RS12900","DZA65_RS13440","HGI48_RS12970","HER17_RS12025"
"group_00007","WP_107768474.1","WP_192991504.1","WP_116587132.1","WP_117624693.1","DDA3937_RS12900","DZA65_RS13440","HGI48_RS12975","HER17_RS12025"
"group_00007","WP_148226907.1","WP_192991502.1","WP_103415912.1","WP_117624693.1","DDA3937_RS12905","DZA65_RS13435","HGI48_RS12970","HER17_RS12025"
"group_00007","WP_148226907.1","WP_192991504.1","WP_103415912.1","WP_117624693.1","DDA3937_RS12905","DZA65_RS13435","HGI48_RS12975","HER17_RS12025"
"group_00007","WP_148226907.1","WP_192991502.1","WP_116587132.1","WP_117624693.1","DDA3937_RS12905","DZA65_RS13440","HGI48_RS12970","HER17_RS12025"
"group_00007","WP_148226907.1","WP_192991504.1","WP_116587132.1","WP_117624693.1","DDA3937_RS12905","DZA65_RS13440","HGI48_RS12975","HER17_RS12025"
"group_00008","WP_013318213.1","WP_192988661.1","WP_024106189.1","WP_180890123.1","DDA3937_RS12065","DZA65_RS12605","HGI48_RS12160","HER17_RS05185"
"group_00008","WP_013318213.1","WP_192988661.1","WP_024106189.1","WP_180890045.1","DDA3937_RS12065","DZA65_RS12605","HGI48_RS12160","HER17_RS18475"
"group_00008","WP_013318213.1","WP_192988661.1","WP_024106189.1","WP_180890161.1","DDA3937_RS12065","DZA65_RS12605","HGI48_RS12160","HER17_RS07795"
"group_00008","WP_013318213.1","WP_192990267.1","WP_024106189.1","WP_180890123.1","DDA3937_RS12065","DZA65_RS12605","HGI48_RS03045","HER17_RS05185"
"group_00008","WP_013318213.1","WP_192990267.1","WP_024106189.1","WP_180890045.1","DDA3937_RS12065","DZA65_RS12605","HGI48_RS03045","HER17_RS18475"
"group_00008","WP_013318213.1","WP_192990267.1","WP_024106189.1","WP_180890161.1","DDA3937_RS12065","DZA65_RS12605","HGI48_RS03045","HER17_RS07795"
"group_00009","WP_013318604.1","WP_192990515.1","WP_103415724.1","WP_010299630.1","DDA3937_RS13890","DZA65_RS07580","HGI48_RS04865","HER17_RS16715"
"group_00009","WP_013318604.1","WP_192990509.1","WP_103415724.1","WP_010299630.1","DDA3937_RS13890","DZA65_RS07580","HGI48_RS04830","HER17_RS16715"
"group_00009","WP_013318604.1","WP_192990515.1","WP_024108969.1","WP_010299630.1","DDA3937_RS13890","DZA65_RS14465","HGI48_RS04865","HER17_RS16715"
"group_00009","WP_013318604.1","WP_192990509.1","WP_024108969.1","WP_010299630.1","DDA3937_RS13890","DZA65_RS14465","HGI48_RS04830","HER17_RS16715"
"group_00009","WP_013316248.1","WP_192990515.1","WP_103415724.1","WP_010299630.1","DDA3937_RS02675","DZA65_RS07580","HGI48_RS04865","HER17_RS16715"
"group_00009","WP_013316248.1","WP_192990509.1","WP_103415724.1","WP_010299630.1","DDA3937_RS02675","DZA65_RS07580","HGI48_RS04830","HER17_RS16715"
"group_00009","WP_013316248.1","WP_192990515.1","WP_024108969.1","WP_010299630.1","DDA3937_RS02675","DZA65_RS14465","HGI48_RS04865","HER17_RS16715"
"group_00009","WP_013316248.1","WP_192990509.1","WP_024108969.1","WP_010299630.1","DDA3937_RS02675","DZA65_RS14465","HGI48_RS04830","HER17_RS16715"
"group_00010","WP_013316608.1","WP_192989450.1","WP_024107309.1","WP_010303316.1","DDA3937_RS04430","DZA65_RS19300","HGI48_RS18160","HER17_RS13440"
"group_00010","WP_013316608.1","WP_192989450.1","WP_024107309.1","WP_010296476.1","DDA3937_RS04430","DZA65_RS19300","HGI48_RS18160","HER17_RS16205"
"group_00010","WP_013316608.1","WP_161132278.1","WP_024107309.1","WP_010303316.1","DDA3937_RS04430","DZA65_RS19300","HGI48_RS02300","HER17_RS13440"
"group_00010","WP_013316608.1","WP_161132278.1","WP_024107309.1","WP_010296476.1","DDA3937_RS04430","DZA65_RS19300","HGI48_RS02300","HER17_RS16205"
"group_00010","WP_013318140.1","WP_192989450.1","WP_024107309.1","WP_010303316.1","DDA3937_RS11725","DZA65_RS19300","HGI48_RS18160","HER17_RS13440"
"group_00010","WP_013318140.1","WP_192989450.1","WP_024107309.1","WP_010296476.1","DDA3937_RS11725","DZA65_RS19300","HGI48_RS18160","HER17_RS16205"
"group_00010","WP_013318140.1","WP_161132278.1","WP_024107309.1","WP_010303316.1","DDA3937_RS11725","DZA65_RS19300","HGI48_RS02300","HER17_RS13440"
"group_00010","WP_013318140.1","WP_161132278.1","WP_024107309.1","WP_010296476.1","DDA3937_RS11725","DZA65_RS19300","HGI48_RS02300","HER17_RS16205"
"group_00011","WP_013318208.1","WP_192988657.1","WP_024106184.1","WP_180890126.1","DDA3937_RS12040","DZA65_RS12585","HGI48_RS12135","HER17_RS05210"
"group_00011","WP_013318208.1","WP_192988657.1","WP_024106184.1","WP_180890049.1","DDA3937_RS12040","DZA65_RS12585","HGI48_RS12135","HER17_RS18500"
"group_00011","WP_013318208.1","WP_192988657.1","WP_024106184.1","WP_180890163.1","DDA3937_RS12040","DZA65_RS12585","HGI48_RS12135","HER17_RS07830"
"group_00011","WP_013318208.1","WP_192990263.1","WP_024106184.1","WP_180890126.1","DDA3937_RS12040","DZA65_RS12585","HGI48_RS03020","HER17_RS05210"
"group_00011","WP_013318208.1","WP_192990263.1","WP_024106184.1","WP_180890049.1","DDA3937_RS12040","DZA65_RS12585","HGI48_RS03020","HER17_RS18500"
"group_00011","WP_013318208.1","WP_192990263.1","WP_024106184.1","WP_180890163.1","DDA3937_RS12040","DZA65_RS12585","HGI48_RS03020","HER17_RS07830"
"group_00012","WP_013318205.1","WP_192988655.1","WP_024108841.1","WP_180890134.1","DDA3937_RS12025","DZA65_RS12570","HGI48_RS12120","HER17_RS05295"
"group_00012","WP_013318205.1","WP_192988655.1","WP_024108841.1","WP_180890060.1","DDA3937_RS12025","DZA65_RS12570","HGI48_RS12120","HER17_RS18570"
"group_00012","WP_013318205.1","WP_192988655.1","WP_024108841.1","WP_180890169.1","DDA3937_RS12025","DZA65_RS12570","HGI48_RS12120","HER17_RS07900"
"group_00013","WP_013317452.1","WP_192991454.1","WP_024108656.1","WP_180890016.1","DDA3937_RS08445","DZA65_RS08900","HGI48_RS08610","HER17_RS15665"
"group_00013","WP_013317452.1","WP_192991454.1","WP_024108656.1","WP_180890015.1","DDA3937_RS08445","DZA65_RS08900","HGI48_RS08610","HER17_RS15660"
"group_00013","WP_013317452.1","WP_192991454.1","WP_024108656.1","WP_010305535.1","DDA3937_RS08445","DZA65_RS08900","HGI48_RS08610","HER17_RS06210"
"group_00014","WP_013318538.1","WP_192988841.1","WP_103415897.1","WP_029367536.1","DDA3937_RS13605","DZA65_RS14120","HGI48_RS13635","HER17_RS09510"
"group_00014","WP_013318538.1","WP_192990488.1","WP_103415897.1","WP_029367536.1","DDA3937_RS13605","DZA65_RS14120","HGI48_RS04685","HER17_RS09510"
"group_00014","WP_013318538.1","WP_192988841.1","WP_103415919.1","WP_029367536.1","DDA3937_RS13605","DZA65_RS04645","HGI48_RS13635","HER17_RS09510"
"group_00014","WP_013318538.1","WP_192990488.1","WP_103415919.1","WP_029367536.1","DDA3937_RS13605","DZA65_RS04645","HGI48_RS04685","HER17_RS09510"
"group_00015","WP_013318223.1","WP_192988668.1","WP_024106199.1","WP_180890043.1","DDA3937_RS12110","DZA65_RS12650","HGI48_RS12200","HER17_RS18465"
"group_00015","WP_013318223.1","WP_192988668.1","WP_024106199.1","WP_127031939.1","DDA3937_RS12110","DZA65_RS12650","HGI48_RS12200","HER17_RS05170"
"group_00015","WP_013318223.1","WP_192988668.1","WP_024106199.1","WP_180890159.1","DDA3937_RS12110","DZA65_RS12650","HGI48_RS12200","HER17_RS07775"
"group_00016","WP_013319746.1","WP_192989604.1","WP_024107562.1","WP_010297068.1","DDA3937_RS19500","DZA65_RS20710","HGI48_RS19630","HER17_RS01890"
"group_00016","WP_013319746.1","WP_192989604.1","WP_024107562.1","WP_010297052.1","DDA3937_RS19500","DZA65_RS20710","HGI48_RS19630","HER17_RS01900"
"group_00016","WP_013319746.1","WP_192989604.1","WP_024107562.1","WP_010297054.1","DDA3937_RS19500","DZA65_RS20710","HGI48_RS19630","HER17_RS01895"
"group_00017","WP_013318212.1","WP_192988660.1","WP_024106188.1","WP_039512480.1","DDA3937_RS12060","DZA65_RS12600","HGI48_RS12155","HER17_RS07800"
"group_00017","WP_013318212.1","WP_192988660.1","WP_024106188.1","WP_180890046.1","DDA3937_RS12060","DZA65_RS12600","HGI48_RS12155","HER17_RS18480"
"group_00017","WP_013318212.1","WP_192988660.1","WP_024106188.1","WP_180890124.1","DDA3937_RS12060","DZA65_RS12600","HGI48_RS12155","HER17_RS05190"
"group_00018","WP_013316559.1","WP_192990254.1","WP_024108282.1","WP_044208977.1","DDA3937_RS04190","DZA65_RS04080","HGI48_RS02975","HER17_RS07875"
"group_00018","WP_013316559.1","WP_192990254.1","WP_024108282.1","WP_180890057.1","DDA3937_RS04190","DZA65_RS04080","HGI48_RS02975","HER17_RS18545"
"group_00018","WP_013316559.1","WP_192990254.1","WP_024108282.1","WP_180890131.1","DDA3937_RS04190","DZA65_RS04080","HGI48_RS02975","HER17_RS05255"
"group_00019","WP_033111903.1","WP_192988659.1","WP_026594756.1","WP_180890047.1","DDA3937_RS12050","DZA65_RS12590","HGI48_RS12145","HER17_RS18490"
