	Dickeya_dadantii_3937	Dickeya_dianthicola_67_19	Dickeya_dianthicola_ME23	Pectobacterium_carotovorum_WPP14
group_00033	WP_013318207.1	WP_161132906.1	WP_024106183.1	WP_005967821.1;WP_180890052.1;WP_130622319.1
group_00034	WP_033111643.1	WP_192990256.1	WP_024108284.1	WP_180890055.1;WP_180890167.1;WP_180890130.1
group_00035	WP_026357784.1	WP_192990111.1	WP_103415800.1;WP_024104728.1	WP_180890032.1;WP_180890110.1
group_00036	WP_081441339.1	WP_192990557.1;WP_192991350.1;WP_192990420.1	None	WP_161502873.1;WP_180889991.1
group_00037	WP_033111658.1	WP_192989552.1	WP_103415662.1	WP_180890066.1;WP_010295737.1
group_00038	WP_013319565.1	WP_024109219.1	WP_024109219.1	WP_161502099.1;WP_180890027.1
group_00039	WP_013316544.1;WP_013318571.1	WP_192991001.1;WP_192990804.1	WP_103415734.1	None
group_00040	WP_013317865.1	WP_192991252.1	WP_024105868.1	WP_010295222.1;WP_048329297.1
group_00041	WP_013316256.1	WP_192990208.1	WP_024104483.1	WP_010308186.1;WP_010298348.1
group_00042	WP_033111562.1;WP_013316800.1	WP_192990140.1	WP_103415793.1	WP_010302150.1
group_00043	WP_013316673.1	WP_192989549.1	WP_024107454.1	WP_010303103.1;WP_010295726.1
group_00044	WP_033111603.1	WP_192990344.1	WP_024108254.1;WP_024105989.1	WP_010306334.1
group_00045	WP_013319373.1	WP_192989379.1	WP_024107200.1	WP_010298618.1;WP_010298616.1
group_00046	WP_033112363.1	WP_192988912.1;WP_192989732.1	WP_024109009.1	WP_010307139.1
group_00047	WP_013316132.1	WP_192990122.1;WP_192990845.1	WP_024104373.1	WP_010298730.1
group_00048	WP_013317524.1;WP_013317525.1	WP_192991042.1	WP_024105550.1	WP_010300901.1
group_00049	WP_013319801.1	WP_024107606.1	WP_024107606.1	WP_010294502.1;WP_010303263.1
group_00050	WP_013318179.1;WP_013316352.1	WP_161132895.1	WP_024108830.1	WP_010308248.1
group_00051	WP_013317316.1;WP_013317738.1	WP_192991168.1	WP_024105728.1	WP_010305301.1
group_00052	WP_013317311.1	WP_192990860.1;WP_192991447.1	WP_024108615.1	WP_010295651.1
group_00053	WP_013317737.1;WP_033111754.1	WP_024105727.1	WP_024105727.1	WP_010305304.1
group_00054	WP_033111755.1;WP_033111826.1	WP_024105730.1	WP_024105730.1	WP_010305292.1
group_00055	WP_013318281.1	WP_192990767.1	WP_024105214.1	WP_039492650.1;WP_010303178.1
group_00056	WP_013316959.1	WP_192990665.1;WP_192989584.1	WP_024105067.1	WP_010295779.1
group_00057	WP_013315750.1	WP_192989788.1;WP_192991354.1	WP_024104034.1	WP_010295977.1
group_00058	WP_013316485.1;WP_013317595.1	WP_192990434.1	WP_024108266.1	WP_010301991.1
group_00059	WP_033111771.1	WP_192990960.1;WP_161132228.1	WP_024107180.1	WP_010303176.1
group_00060	WP_013316546.1	WP_192990238.1	WP_024108267.1	WP_010298905.1;WP_010306206.1
group_00061	None	WP_192988734.1	WP_024108979.1;WP_024108983.1	WP_010306317.1;WP_010295653.1
group_00062	WP_013315785.1	WP_192988877.1	WP_099327157.1;WP_099327158.1;WP_116587119.1	None
group_00063	WP_033112288.1	WP_192990958.1;WP_192991446.1	WP_024108871.1	WP_180890076.1
group_00064	WP_013318211.1	WP_024106187.1	WP_024106187.1	WP_180890162.1;WP_103184661.1
group_00065	WP_013316053.1;WP_013316442.1	WP_192990062.1	WP_024108994.1	WP_010297441.1
group_00066	WP_033111904.1	WP_192991482.1	WP_035045361.1	WP_180890198.1;WP_080762713.1
group_00067	WP_013318754.1	WP_192991519.1	WP_024106636.1	WP_010296486.1;WP_138255420.1
group_00068	WP_013315786.1	WP_161132064.1	WP_024104063.1	WP_010296876.1;WP_010296892.1
group_00069	WP_024109874.1	WP_192991078.1	WP_024108687.1;WP_024104211.1	WP_010300262.1
group_00070	WP_013316554.1	WP_192990243.1	WP_024108273.1	WP_029369344.1;WP_010311160.1
group_00071	WP_013316251.1	WP_192990517.1	WP_024108655.1;WP_024108947.1	WP_010299636.1
group_00072	WP_033112377.1	WP_192988982.1	WP_046830472.1	WP_010303097.1
group_00073	WP_013318013.1	WP_192991472.1	WP_103415888.1	WP_180890185.1
group_00074	WP_013316032.1	WP_192990048.1	WP_024104261.1	WP_039470353.1
group_00075	WP_013318655.1	WP_192988903.1	WP_024106552.1	WP_180890197.1
group_00076	WP_013315926.1	WP_192989995.1	WP_024104178.1	WP_010301725.1
group_00077	WP_013315925.1	WP_024104177.1	WP_024104177.1	WP_039476355.1
group_00078	WP_013318184.1	WP_192988639.1	WP_024108834.1	WP_010308792.1
group_00079	WP_033112387.1	WP_192991534.1	WP_103415714.1	WP_010301164.1
group_00080	WP_033112187.1	WP_192991380.1	WP_024104228.1	WP_029368241.1
group_00081	WP_013317760.1	WP_192991184.1	WP_103415937.1	WP_039537140.1
group_00082	WP_013318257.1	WP_192988691.1	WP_024106228.1	WP_010295913.1
group_00083	WP_013319867.1	WP_192989686.1	WP_103415951.1	WP_180890086.1
group_00084	WP_013320041.1	WP_192989894.1	WP_024109350.1	WP_010304880.1
group_00085	WP_013319670.1	WP_192991562.1	WP_024107489.1	WP_010309989.1
group_00086	WP_013318010.1	WP_192991362.1	WP_024110007.1	WP_180890021.1
group_00087	WP_013319282.1	WP_192989319.1	WP_024107123.1	WP_010306464.1
group_00088	WP_013316426.1	WP_192990339.1	WP_024104696.1	WP_010295786.1
group_00089	WP_013316765.1	WP_192990551.1	WP_024108433.1	WP_010296433.1
group_00090	WP_013317151.1	WP_192990926.1	WP_024105454.1	WP_010303127.1
group_00091	WP_193345732.1	WP_192988779.1	WP_024106359.1	WP_180781933.1
group_00092	WP_033111865.1	WP_192991363.1	WP_103415883.1	WP_161502801.1
group_00093	WP_013317218.1	WP_192990811.1	WP_029729363.1	WP_161509540.1
group_00094	WP_013319520.1	WP_024110167.1	WP_024107325.1	WP_039469990.1
group_00095	WP_013316812.1	WP_192990595.1	WP_024109690.1	WP_161502776.1
group_00096	WP_013317320.1	WP_192990861.1	WP_103415747.1	WP_010296740.1
group_00097	WP_013318366.1	WP_192988750.1	WP_024106321.1	WP_010297783.1
group_00098	WP_013317703.1	WP_192991142.1	WP_024105694.1	WP_180889990.1
group_00099	WP_013317959.1	WP_192991316.1	WP_103415877.1	WP_010295986.1
group_00100	WP_013317039.1	WP_192990316.1	WP_024104660.1	WP_010302710.1
group_00101	WP_013316873.1	WP_024104996.1	WP_024108458.1	WP_010303023.1
group_00102	WP_013318912.1	WP_192989086.1	WP_024106769.1	WP_010305668.1
group_00103	WP_013316102.1	WP_192990101.1	WP_024104343.1	WP_180890072.1
group_00104	WP_013318913.1	WP_192989087.1	WP_024109062.1	WP_010305670.1
group_00105	WP_013316476.1	WP_192990909.1	WP_024108641.1	WP_180890152.1
group_00106	WP_013317019.1	WP_192990708.1	WP_024105121.1	WP_010299190.1
group_00107	WP_013319652.1	WP_192989562.1	WP_024107476.1	WP_039475751.1
group_00108	WP_148226867.1	WP_192990525.1	WP_046830379.1	WP_010301614.1
group_00109	WP_033112240.1	WP_192990534.1	WP_103415852.1	WP_010309013.1
group_00110	WP_013319505.1	WP_192989452.1	WP_024107311.1	WP_010299743.1
group_00111	WP_013316356.1	WP_192990301.1	WP_103415864.1	WP_010307485.1
group_00112	WP_013319379.1	WP_024107202.1	WP_024107202.1	WP_039470146.1
group_00113	WP_013319527.1	WP_192989465.1	WP_024110168.1	WP_029368873.1
group_00114	WP_071819871.1	WP_192990638.1	WP_029729329.1	WP_072013002.1
group_00115	WP_033111760.1	WP_192990878.1	WP_103415750.1	WP_161502018.1
group_00116	WP_033112037.1	WP_192989312.1	WP_026594837.1	WP_010305128.1
group_00117	WP_013315729.1	WP_192989803.1	WP_024108049.1	WP_161503021.1
group_00118	WP_013318704.1	WP_192988931.1	WP_024106593.1	WP_010295373.1
group_00119	WP_013318654.1	WP_192988902.1	WP_024106551.1	WP_010295294.1
group_00120	WP_013316748.1	WP_192990542.1	WP_024104873.1	WP_165574544.1
group_00121	WP_013319442.1	WP_024107254.1	WP_024107254.1	WP_010306325.1
group_00122	WP_013319254.1	WP_192989300.1	WP_024109162.1	WP_010305837.1
group_00123	WP_013318260.1	WP_192988693.1	WP_103415914.1	WP_010295903.1
group_00124	WP_013317001.1	WP_192990695.1	WP_024105105.1	WP_010309411.1
group_00125	WP_013316972.1	WP_192990676.1	WP_024105078.1	WP_010298778.1
group_00126	WP_013319457.1	WP_192989420.1	WP_024109196.1	WP_010297982.1
group_00127	WP_013319907.1	WP_161131625.1	WP_103415768.1	WP_010298625.1
group_00128	WP_013319832.1	WP_024107632.1	WP_024107632.1	WP_010294567.1
group_00129	WP_013316909.1	WP_192990639.1	WP_024105025.1	WP_180890014.1
group_00130	WP_013316826.1	WP_192990606.1	WP_103415782.1	WP_180890071.1
group_00131	WP_013317861.1	WP_192991250.1	WP_024108759.1	WP_010295224.1
group_00132	WP_013319211.1	WP_192989272.1	WP_024107060.1	WP_161502164.1
group_00133	WP_013319405.1	WP_192989401.1	WP_024107228.1	WP_010295150.1
group_00134	WP_013319433.1	WP_192989413.1	WP_024107248.1	WP_010300437.1
group_00135	WP_013319096.1	WP_192989203.1	WP_024106966.1	WP_010307188.1
group_00136	WP_013317897.1	WP_192991276.1	WP_024105897.1	WP_010295184.1
group_00137	WP_013318196.1	WP_192988648.1	WP_024106173.1	WP_010302623.1
group_00138	WP_013318443.1	WP_192988800.1	WP_024108884.1	WP_029367773.1
group_00139	WP_013318454.1	WP_192988807.1	WP_024108886.1	WP_010297175.1
group_00140	WP_013318385.1	WP_192988763.1	WP_103415903.1	WP_180889988.1
group_00141	WP_013316898.1	WP_192990635.1	WP_024105014.1	WP_010301269.1
group_00142	WP_013318316.1	WP_192988725.1	WP_024106279.1	WP_010302314.1
group_00143	WP_013319762.1	WP_192989616.1	WP_024107576.1	WP_010305966.1
group_00144	WP_013316906.1	WP_192990637.1	WP_024105022.1	WP_010301285.1
group_00145	WP_013318416.1	WP_192988781.1	WP_024108879.1	WP_010309511.1
group_00146	WP_013316773.1	WP_192991412.1	WP_103415849.1	WP_029367610.1
group_00147	WP_013319791.1	WP_192989632.1	WP_024107597.1	WP_161502044.1
group_00148	WP_013317960.1	WP_192991317.1	WP_024105949.1	WP_010295982.1
group_00149	WP_077245922.1	WP_192989455.1	WP_035045499.1	WP_180890095.1
group_00150	WP_013319073.1	WP_192989192.1	WP_024106948.1	WP_010306158.1
group_00151	WP_013319780.1	WP_192989628.1	WP_103415763.1	WP_010299416.1
group_00152	WP_013317147.1	WP_192990923.1	WP_024105450.1	WP_010303135.1
group_00153	WP_013316758.1	WP_161132140.1	WP_024108429.1	WP_010296417.1
group_00154	WP_013319171.1	WP_192989246.1	WP_024109151.1	WP_010309112.1
group_00155	WP_013315903.1	WP_109105253.1	WP_024104160.1	WP_010299265.1
group_00156	WP_013319040.1	WP_192989177.1	WP_029729688.1	WP_010299551.1
group_00157	WP_013320097.1	WP_192989860.1	WP_103415820.1	WP_180890077.1
group_00158	WP_013319543.1	WP_161143002.1	WP_024107345.1	WP_010300504.1
group_00159	WP_013316262.1	WP_192990210.1	WP_024108198.1	WP_010308202.1
group_00160	WP_013318368.1	WP_161132602.1	WP_024106323.1	WP_010297777.1
group_00161	WP_033112042.1	WP_192989332.1	WP_024109176.1	WP_039541233.1
group_00162	WP_033111502.1	WP_192989753.1	WP_162928393.1	WP_010301222.1
group_00163	WP_013319504.1	WP_192989451.1	WP_024109204.1	WP_161502104.1
group_00164	WP_013318079.1	WP_024110017.1	WP_024106054.1	WP_010297845.1
group_00165	WP_013319795.1	WP_192989636.1	WP_024107601.1	WP_010299448.1
group_00166	WP_033112168.1	WP_192989833.1	WP_103415821.1	WP_010294991.1
group_00167	WP_013316924.1	WP_192990646.1	WP_024108476.1	WP_010307457.1
group_00168	WP_033112009.1	WP_192989178.1	WP_024106919.1	WP_010299554.1
group_00169	WP_013316322.1	WP_161132772.1	WP_024104593.1	WP_010300008.1
group_00170	WP_013319911.1	WP_192989964.1	WP_024109310.1	WP_010298613.1
group_00171	WP_013316856.1	WP_024104981.1	WP_024104981.1	WP_039472374.1
group_00172	WP_013316904.1	WP_024105020.1	WP_024105020.1	WP_010301282.1
group_00173	WP_013318817.1	WP_192989003.1	WP_024109047.1	WP_010300165.1
group_00174	WP_013317519.1	WP_192991038.1	WP_024105546.1	WP_180889995.1
group_00175	WP_013319252.1	WP_192989298.1	WP_024109160.1	WP_039465996.1
group_00176	WP_033111759.1	WP_192990877.1	WP_024105389.1	WP_029369100.1
group_00177	WP_013319774.1	WP_192989625.1	WP_024109271.1	WP_010308971.1
group_00178	WP_013317716.1	WP_192991151.1	WP_024105705.1	WP_010301071.1
group_00179	WP_013316055.1	WP_192990064.1	WP_024104281.1	WP_010297477.1
group_00180	WP_013316592.1	WP_192990438.1	WP_024104740.1	WP_010307161.1
group_00181	WP_033111734.1	WP_192990940.1	WP_024105470.1	WP_010304859.1
group_00182	WP_013317224.1	WP_192990816.1	WP_024108577.1	WP_010298374.1
group_00183	WP_013317092.1	WP_192990751.1	WP_024105193.1	WP_010296816.1
group_00184	WP_013317698.1	WP_192991139.1	WP_024105689.1	WP_010306371.1
group_00185	WP_013319779.1	WP_192989627.1	WP_024107591.1	WP_039541710.1
group_00186	WP_013316699.1	WP_192990518.1	WP_024104831.1	WP_010299646.1
group_00187	WP_013316076.1	WP_192990084.1	WP_103415805.1	WP_161502932.1
group_00188	WP_013316719.1	WP_192991410.1	WP_103415850.1	WP_010299693.1
group_00189	WP_013317326.1	WP_192990865.1	WP_024108618.1	WP_010301792.1
group_00190	WP_013315899.1	WP_192991571.1	WP_024108080.1	WP_010299288.1
group_00191	WP_013319825.1	WP_192991568.1	WP_103415945.1	WP_010294544.1
group_00192	WP_013319321.1	WP_192989344.1	WP_024107156.1	WP_010295025.1
group_00193	WP_013320153.1	WP_192989815.1	WP_024107932.1	WP_010300074.1
group_00194	WP_013315866.1	WP_192989723.1	WP_024108072.1	WP_010308730.1
group_00195	WP_013316926.1	WP_192990647.1	WP_024108477.1	WP_010307464.1
group_00196	WP_033111875.1	WP_192988573.1	WP_024106063.1	WP_161502548.1
group_00197	WP_013318375.1	WP_192988756.1	WP_024109985.1	WP_180889987.1
group_00198	WP_013318902.1	WP_192989080.1	WP_024106762.1	WP_010305612.1
group_00199	WP_013318789.1	WP_192988984.1	WP_024109039.1	WP_180890091.1
group_00200	WP_013319065.1	WP_192989186.1	WP_024106940.1	WP_049776306.1
group_00201	WP_013317520.1	WP_192991039.1	WP_024105547.1	WP_039506883.1
group_00202	WP_013317291.1	WP_192991436.1	WP_103415743.1	WP_010297642.1
group_00203	WP_013319706.1	WP_024107524.1	WP_024107524.1	WP_010296974.1
group_00204	WP_013319123.1	WP_192989219.1	WP_103415636.1	WP_010308756.1
group_00205	WP_033111965.1	WP_192988969.1	WP_026594808.1	WP_010298577.1
group_00206	WP_013319886.1	WP_192989987.1	WP_103415775.1	WP_010298668.1
group_00207	WP_013318831.1	WP_192989036.1	WP_024106698.1	WP_010300999.1
group_00208	WP_013318900.1	WP_192989079.1	WP_024106760.1	WP_161502375.1
group_00209	WP_013319794.1	WP_192989635.1	WP_024107600.1	WP_010299446.1
group_00210	WP_013320094.1	WP_192989865.1	WP_024109368.1	WP_010296510.1
group_00211	WP_013319764.1	WP_192989618.1	WP_024109265.1	WP_010305977.1
group_00212	WP_013315744.1	WP_192989792.1	WP_024104029.1	WP_010281663.1
group_00213	WP_013318721.1	WP_161131640.1	WP_024106608.1	WP_029367433.1
group_00214	WP_013318997.1	WP_192989149.1	WP_024109100.1	WP_010302475.1
group_00215	WP_013318749.1	WP_192988960.1	WP_024106635.1	WP_010298552.1
group_00216	WP_013318886.1	WP_192989070.1	WP_024106747.1	WP_010300957.1
group_00217	WP_013315816.1	WP_192989754.1	WP_024109542.1	WP_010301219.1
group_00218	WP_013317816.1	WP_192991222.1	WP_024108752.1	WP_161502554.1
group_00219	WP_013320125.1	WP_192989843.1	WP_024107897.1	WP_010302430.1
group_00220	WP_013317070.1	WP_161131488.1	WP_024108516.1	WP_010296764.1
group_00221	WP_013316325.1	WP_192990281.1	WP_024104596.1	WP_010300014.1
group_00222	WP_013316403.1	WP_192990328.1	WP_024108245.1	WP_010295750.1
group_00223	WP_013318885.1	WP_192989069.1	WP_024109058.1	WP_029368333.1
group_00224	WP_013315742.1	WP_192989794.1	WP_024108054.1	WP_010298170.1
group_00225	WP_013317059.1	WP_192990733.1	WP_024108514.1	WP_010296743.1
group_00226	WP_013316848.1	WP_192990618.1	WP_024104972.1	WP_039472364.1
group_00227	WP_013316947.1	WP_192990660.1	WP_024108485.1	WP_010301573.1
group_00228	WP_013319865.1	WP_192989684.1	WP_024107662.1	WP_010294653.1
group_00229	WP_013320118.1	WP_192989844.1	WP_024109380.1	WP_010307405.1
group_00230	WP_013318083.1	WP_024106058.1	WP_024106058.1	WP_010297851.1
group_00231	WP_013319567.1	WP_024107369.1	WP_024107369.1	WP_010295422.1
group_00232	WP_013318129.1	WP_192988600.1	WP_103415970.1	WP_010302183.1
group_00233	WP_013318192.1	WP_192988645.1	WP_024106169.1	WP_010302615.1
group_00234	WP_013320048.1	WP_192989892.1	WP_024109351.1	WP_010296574.1
group_00235	WP_013318305.1	WP_192988718.1	WP_024106268.1	WP_039537873.1
group_00236	WP_013318515.1	WP_024106489.1	WP_024106489.1	WP_010301643.1
group_00237	WP_013318303.1	WP_192988716.1	WP_024106266.1	WP_010306285.1
group_00238	WP_013318009.1	WP_192991361.1	WP_024105996.1	WP_161502799.1
group_00239	WP_013317851.1	WP_192991243.1	WP_024105857.1	WP_010295239.1
group_00240	WP_033112039.1	WP_192989323.1	WP_024109172.1	WP_010306478.1
group_00241	WP_013316967.1	WP_192990670.1	WP_024105073.1	WP_010298767.1
group_00242	WP_013317471.1	WP_192991016.1	WP_024105514.1	WP_039506856.1
group_00243	WP_013317840.1	WP_192991236.1	WP_024105847.1	WP_010295250.1
group_00244	WP_013317003.1	WP_192990697.1	WP_024105107.1	WP_010299135.1
group_00245	WP_033111611.1	WP_192990355.1	WP_024104714.1	WP_010308457.1
group_00246	WP_033111825.1	WP_192991156.1	WP_081634308.1	WP_029368346.1
group_00247	WP_071604495.1	WP_071598731.1	WP_071598731.1	WP_029368533.1
group_00248	WP_033112093.1	WP_192989479.1	WP_024107353.1	WP_010300529.1
group_00249	WP_013318810.1	WP_192988998.1	WP_024106685.1	WP_029368215.1
group_00250	WP_013318112.1	WP_192988588.1	WP_024106098.1	WP_010302239.1
group_00251	WP_033111764.1	WP_192990886.1	WP_103415752.1	WP_039540838.1
group_00252	WP_013315985.1	WP_192990029.1	WP_024104222.1	WP_029368238.1
group_00253	WP_013316052.1	WP_192990061.1	WP_024104279.1	WP_010297438.1
group_00254	WP_033111871.1	WP_192988551.1	WP_024108905.1	WP_010299924.1
group_00255	WP_167535242.1	WP_192991378.1	WP_024104189.1	WP_180890206.1
group_00256	WP_013316228.1	WP_192990196.1	WP_024109616.1	WP_029368638.1
group_00257	WP_013316882.1	WP_192990629.1	WP_024105003.1	WP_010303031.1
group_00258	WP_013318374.1	WP_192988755.1	WP_024106328.1	WP_010308821.1
group_00259	WP_013317523.1	WP_192991041.1	WP_024105549.1	WP_010294869.1
group_00260	WP_013316448.1	WP_192990350.1	WP_024108260.1	WP_180890004.1
group_00261	WP_013319728.1	WP_024107547.1	WP_024107547.1	WP_010297027.1
group_00262	WP_013318353.1	WP_192988744.1	WP_024106309.1	WP_010305721.1
group_00263	WP_013316832.1	WP_192990611.1	WP_024104960.1	WP_010299084.1
group_00264	WP_013316885.1	WP_024105005.1	WP_024105005.1	WP_174435938.1
group_00265	WP_013320164.1	WP_192989812.1	WP_024107941.1	WP_010300098.1
group_00266	WP_013318707.1	WP_192988934.1	WP_024106596.1	WP_010295383.1
group_00267	WP_013318777.1	WP_192988977.1	WP_024109036.1	WP_029368444.1
group_00268	WP_013319585.1	WP_192989496.1	WP_024109226.1	WP_010295446.1
group_00269	WP_193345743.1	WP_192991512.1	WP_035044754.1	WP_029367804.1
group_00270	WP_033112188.1	WP_192991382.1	WP_024104233.1	WP_049776245.1
group_00271	WP_013319818.1	WP_192989656.1	WP_024107619.1	WP_010294531.1
group_00272	WP_013319654.1	WP_024107478.1	WP_024107478.1	WP_010295517.1
group_00273	WP_013319874.1	WP_161132493.1	WP_024107671.1	WP_010294669.1
group_00274	WP_013319533.1	WP_192989470.1	WP_024107337.1	WP_039507164.1
group_00275	WP_013315717.1	WP_024103996.1	WP_024103996.1	WP_010300110.1
group_00276	WP_013317613.1	WP_192991091.1	WP_024105621.1	WP_010294796.1
group_00277	WP_013319270.1	WP_192989310.1	WP_024107111.1	WP_010305120.1
group_00278	WP_013320034.1	WP_192989900.1	WP_024107826.1	WP_010296582.1
group_00279	WP_013317017.1	WP_024105119.1	WP_024105119.1	WP_010299187.1
group_00280	WP_033112087.1	WP_192989432.1	WP_024109199.1	WP_010298058.1
group_00281	WP_013319194.1	WP_192989267.1	WP_024107047.1	WP_029367482.1
group_00282	WP_033112139.1	WP_192989949.1	WP_024109321.1	WP_029368282.1
group_00283	WP_013317849.1	WP_192991242.1	WP_024105855.1	WP_010295243.1
group_00284	WP_013315736.1	WP_024104021.1	WP_024104021.1	WP_010298147.1
group_00285	WP_013318559.1	WP_192988863.1	WP_024108945.1	WP_029369030.1
group_00286	WP_013317141.1	WP_192990918.1	WP_103415755.1	WP_010303154.1
group_00287	WP_013317718.1	WP_192991153.1	WP_024105707.1	WP_010301068.1
group_00288	WP_013319010.1	WP_024106894.1	WP_024106894.1	WP_039284413.1
group_00289	WP_013319324.1	WP_192989347.1	WP_024107159.1	WP_029368463.1
group_00290	WP_013317796.1	WP_192991211.1	WP_024108750.1	WP_010309219.1
group_00291	WP_013318699.1	WP_192988929.1	WP_024106589.1	WP_010278858.1
group_00292	WP_013319672.1	WP_192989571.1	WP_024107492.1	WP_039541578.1
group_00293	WP_013320151.1	WP_192989817.1	WP_024109387.1	WP_039475198.1
group_00294	WP_013317603.1	WP_192991087.1	WP_024108691.1	WP_161502582.1
group_00295	WP_033111652.1	WP_192990480.1	WP_103415921.1	WP_029367514.1
group_00296	WP_013317596.1	WP_192991083.1	WP_024105606.1	WP_010294824.1
group_00297	WP_013318467.1	WP_024106405.1	WP_024106405.1	WP_010305593.1
group_00298	WP_013316041.1	WP_192990053.1	WP_024104269.1	WP_010296721.1
group_00299	WP_013318963.1	WP_192989129.1	WP_024106852.1	WP_010307850.1
group_00300	WP_139348318.1	WP_192989320.1	WP_103415637.1	WP_029368859.1
group_00301	WP_013316300.1	WP_192990275.1	WP_024108207.1	WP_010308324.1
group_00302	WP_013317064.1	WP_192990734.1	WP_024105167.1	WP_010296749.1
group_00303	WP_013319470.1	WP_024107282.1	WP_024107282.1	WP_010298031.1
group_00304	WP_013316823.1	WP_024104951.1	WP_024104951.1	WP_029368086.1
group_00305	WP_013317493.1	WP_192991027.1	WP_024108663.1	WP_010297646.1
group_00306	WP_013317974.1	WP_192991330.1	WP_103415879.1	WP_029367635.1
group_00307	WP_013318294.1	WP_192988712.1	WP_024106259.1	WP_010295827.1
group_00308	WP_013318502.1	WP_192988828.1	WP_103415898.1	WP_010301673.1
group_00309	WP_013319236.1	WP_192989288.1	WP_024107083.1	WP_010299883.1
group_00310	WP_013319237.1	WP_192989289.1	WP_024107084.1	WP_010299885.1
