Gene ID	Locus Tag	Name	Function	
648183539	Dda3937_02423	general secretion pathway protein L	COG3297	
648183540	Dda3937_02422	general secretion pathway protein K	COG3156	
648183541	Dda3937_02421	general secretion pathway protein J	COG4795	
648183544	Dda3937_02418	type II secretory pathway, component OutG	COG2165	
648183545	Dda3937_02417	general secretion pathway protein F	COG1459	
648183546	Dda3937_02416	general secretion pathway protein E	COG2804	
648183547	Dda3937_02415	general secretion pathway protein D	COG1450	
648183548	Dda3937_02414	type II secretion system protein C (GspC)	COG3031	
648183848	Dda3937_03944	signal recognition particle subunit FFH/SRP54 (srp54)	COG0541	
648184056	Dda3937_00167	autotransporter secretion inner membrane protein TamB	COG2911	
648184168	Dda3937_03067	hypothetical protein	COG4104	
648184227	Dda3937_02242	protein transport protein HofB	COG2804	
648184228	Dda3937_02241	type 4 fimbrial assembly protein pilC	COG1459	
648184234	Dda3937_02235	preprotein translocase subunit, ATPase	COG0653	
648184305	Dda3937_01395	prolipoprotein signal peptidase (signal peptidase II)	COG0597	
648184416	Dda3937_02168	hypothetical protein	COG3157	
648184485	Dda3937_01511	protein translocase subunit secY/sec61 alpha	COG0201	
648184718	Dda3937_02067	Twin-arginine translocation protein TatC	COG0805	
648184719	Dda3937_02066	Twin-arginine translocation protein TatB	COG1826	
648184720	Dda3937_02065	Twin-arginine translocation protein TatA	COG1826	
648184739	Dda3937_02047	protein export chaperone	COG1952	
648184797	Dda3937_03225	Uropathogenic specific protein	COG4104	
